dataset,rare_class,seed,rts,variant,group,sep,split_hash,git_sha,cell_id_align_hash,abstain,chosen_rank,baseline_f1,rare_f1,rare_recall,rare_precision,n_rescued,n_false_rescues,ffr
immune_dc,ASDC,43,0.05,A3_minus_adaptive_rank,A,1.9468,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.8936,0.9398,0.9,0.9832,14,2,0.000333
immune_dc,ASDC,43,0.05,A4_minus_tau,A,1.9468,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.8936,0.9398,0.9,0.9832,14,2,0.000333
immune_dc,ASDC,43,0.05,A5_full,A,1.9468,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.8936,0.9398,0.9,0.9832,14,2,0.000333
immune_dc,ASDC,43,0.05,R1_rank1,R,1.9468,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.8936,0.9398,0.9,0.9832,14,2,0.000333
immune_dc,ASDC,43,0.05,R2_rank2,R,1.9468,33b8ce5bdff2e437,7a90a01,0311166af38c,False,2,0.8936,0.8421,0.9846,0.7356,69,46,0.007662
immune_dc,ASDC,43,0.05,R3_rank3,R,1.9468,33b8ce5bdff2e437,7a90a01,0311166af38c,False,3,0.8936,0.8232,0.9846,0.7072,76,53,0.008827
immune_dc,ASDC,43,0.05,R_adaptive,R,1.9468,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.8936,0.9398,0.9,0.9832,14,2,0.000333
immune_dc,ASDC,43,0.10,A0_baseline,A,1.7472,33b8ce5bdff2e437,7a90a01,0311166af38c,False,0,0.93,0.93,0.8692,1.0,0,0,0.0
immune_dc,ASDC,43,0.10,A1_minus_sep,A,1.7472,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.93,0.9565,0.9308,0.9837,10,2,0.000333
immune_dc,ASDC,43,0.10,A2_minus_necessity,A,1.7472,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.93,0.9565,0.9308,0.9837,10,2,0.000333
immune_dc,ASDC,43,0.10,A3_minus_adaptive_rank,A,1.7472,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.93,0.9565,0.9308,0.9837,10,2,0.000333
immune_dc,ASDC,43,0.10,A4_minus_tau,A,1.7472,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.93,0.9565,0.9308,0.9837,10,2,0.000333
immune_dc,ASDC,43,0.10,A5_full,A,1.7472,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.93,0.9565,0.9308,0.9837,10,2,0.000333
immune_dc,ASDC,43,0.10,R1_rank1,R,1.7472,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.93,0.9565,0.9308,0.9837,10,2,0.000333
immune_dc,ASDC,43,0.10,R2_rank2,R,1.7472,33b8ce5bdff2e437,7a90a01,0311166af38c,False,2,0.93,0.8013,0.9769,0.6791,74,60,0.009993
immune_dc,ASDC,43,0.10,R3_rank3,R,1.7472,33b8ce5bdff2e437,7a90a01,0311166af38c,False,3,0.93,0.805,0.9846,0.6809,75,60,0.009993
immune_dc,ASDC,43,0.10,R_adaptive,R,1.7472,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.93,0.9565,0.9308,0.9837,10,2,0.000333
immune_dc,ASDC,43,all,A0_baseline,A,1.9374,33b8ce5bdff2e437,7a90a01,0311166af38c,False,0,0.9444,0.9444,0.9154,0.9754,0,0,0.0
immune_dc,ASDC,43,all,A1_minus_sep,A,1.9374,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9444,0.9528,0.9308,0.9758,2,0,0.0
