dataset,seed,rare_train_size,primary_group,metric,n,median,q25,q75
pancreas_baron,44,0.05,baseline_correct_rare,rare_membership_score,44,0.17169501493382777,0.15370211074709436,0.1918241934906602
pancreas_baron,44,0.10,non_target,rare_membership_score,1638,0.08915097125385227,0.06265367626155995,0.10487382845896444
pancreas_baron,44,0.10,baseline_correct_rare,rare_membership_score,71,0.18077130961921253,0.16582023350886757,0.19581854728339498
pancreas_baron,44,0.10,unrescued_rare,rare_membership_score,15,0.13995356593856956,0.126338962936081,0.14829787708303122
pancreas_baron,44,all,non_target,rare_membership_score,1638,0.09759412428439557,0.06386047699963292,0.11441192838182367
pancreas_baron,44,all,baseline_correct_rare,rare_membership_score,74,0.17150659426147039,0.15372128016117922,0.19014890832207088
pancreas_baron,44,all,unrescued_rare,rare_membership_score,12,0.13940991604188813,0.1295273927324617,0.15200848213529614
pancreas_integrated,42,0.01,non_target,rare_membership_score,1701,0.07818337568412091,0.06815541564440188,0.08783493304164783
pancreas_integrated,42,0.01,baseline_correct_rare,rare_membership_score,23,0.25808580703371015,0.23864175309337604,0.2660250047053113
pancreas_integrated,42,0.05,non_target,rare_membership_score,1701,0.07830977965538859,0.07021504349961318,0.09289495758121141
pancreas_integrated,42,0.05,baseline_correct_rare,rare_membership_score,23,0.2795730275698146,0.2647162677191317,0.288981129602948
pancreas_integrated,42,0.10,non_target,rare_membership_score,1701,0.08781632156531126,0.07910583083324124,0.09988455779084958
pancreas_integrated,42,0.10,baseline_correct_rare,rare_membership_score,23,0.27740097250291124,0.27119575710758576,0.29070529945021634
pancreas_integrated,42,all,non_target,rare_membership_score,1701,0.08323673647775331,0.07458756583055869,0.09564791486185528
pancreas_integrated,42,all,baseline_correct_rare,rare_membership_score,23,0.28726349761877706,0.2729474498908997,0.29876582284127273
pancreas_integrated,43,0.01,non_target,rare_membership_score,1701,0.018581043722366648,0.016013676774315727,0.02222007431123035
pancreas_integrated,43,0.01,baseline_correct_rare,rare_membership_score,23,0.1817122161901442,0.14799047344267224,0.20194687210896434
pancreas_integrated,43,0.05,non_target,rare_membership_score,1701,0.06054901011895304,0.05487413457836385,0.06799367323480339
pancreas_integrated,43,0.05,baseline_correct_rare,rare_membership_score,23,0.25446345946578064,0.23692972858885275,0.2765515531075601
pancreas_integrated,43,0.10,non_target,rare_membership_score,1701,0.09213477547766571,0.0836041300124549,0.10337961151784299
pancreas_integrated,43,0.10,baseline_correct_rare,rare_membership_score,23,0.29176157766287164,0.2651461876117047,0.3106419405006109
pancreas_integrated,43,all,non_target,rare_membership_score,1701,0.07342615001073796,0.06718691567973949,0.08229719106556052
pancreas_integrated,43,all,baseline_correct_rare,rare_membership_score,23,0.28700406840263826,0.2645605126346926,0.31069462511804247
pancreas_integrated,44,0.01,non_target,rare_membership_score,1701,0.0700986529306201,0.06302210680636233,0.0798919684768261
pancreas_integrated,44,0.01,true_rescued_rare,rare_membership_score,23,0.22971861478066863,0.2016176829075021,0.24517612297841168
pancreas_integrated,44,0.05,non_target,rare_membership_score,1701,0.07340125772558366,0.06635300088602972,0.08351928534189058
pancreas_integrated,44,0.05,baseline_correct_rare,rare_membership_score,23,0.2516310995684572,0.2368054706828806,0.26668605040034477
pancreas_integrated,44,0.10,non_target,rare_membership_score,1701,0.056289870923826715,0.05136927427265216,0.06465156751437907
pancreas_integrated,44,0.10,baseline_correct_rare,rare_membership_score,23,0.23658437983051728,0.21913493022318187,0.26893099655898955
pancreas_integrated,44,all,non_target,rare_membership_score,1701,0.06942355673283968,0.063634114579402,0.07869673459301225
pancreas_integrated,44,all,baseline_correct_rare,rare_membership_score,23,0.2422648316460092,0.22629164227599424,0.26537878930580583
tabula_lung_endo,42,0.01,non_target,rare_membership_score,1716,0.060020909820219626,0.05050571187838994,0.07315333357517384
tabula_lung_endo,42,0.01,true_rescued_rare,rare_membership_score,65,0.2557363647311926,0.2209241638907789,0.2891734435052987
tabula_lung_endo,42,0.05,non_target,rare_membership_score,1716,0.11503722536000408,0.10040769656439517,0.13269839408116862
tabula_lung_endo,42,0.05,true_rescued_rare,rare_membership_score,32,0.36754910294138965,0.336190943202567,0.40016890948832023
tabula_lung_endo,42,0.05,baseline_correct_rare,rare_membership_score,33,0.4309619179657287,0.3806823790084903,0.4637112114983117
tabula_lung_endo,42,0.10,non_target,rare_membership_score,1716,0.11956833369274275,0.10616993136060356,0.13586200085762062
tabula_lung_endo,42,0.10,baseline_correct_rare,rare_membership_score,64,0.41528161104438205,0.3804446222703418,0.46706604983261163
tabula_lung_endo,42,0.10,unrescued_rare,rare_membership_score,1,0.24515552963446186,0.24515552963446186,0.24515552963446186
tabula_lung_endo,42,all,non_target,rare_membership_score,1716,0.12653934169092382,0.11052197782454946,0.14364750728460207
tabula_lung_endo,42,all,baseline_correct_rare,rare_membership_score,65,0.44381581310313467,0.40303226629103667,0.4814478679226234
tabula_lung_endo,43,0.01,non_target,rare_membership_score,1716,0.049722050666829165,0.04395369892257279,0.05695617819718002
tabula_lung_endo,43,0.01,true_rescued_rare,rare_membership_score,56,0.24953272827986459,0.19839666080219842,0.28399152737754807
tabula_lung_endo,43,0.01,baseline_correct_rare,rare_membership_score,7,0.359438942342064,0.3158414571190414,0.39269502093515546
tabula_lung_endo,43,0.01,unrescued_rare,rare_membership_score,2,0.09951493208153064,0.09876578501498046,0.10026407914808083
tabula_lung_endo,43,0.05,non_target,rare_membership_score,1716,0.1271738104549695,0.11494032275398335,0.141780085913706
tabula_lung_endo,43,0.05,baseline_correct_rare,rare_membership_score,60,0.4002906783814185,0.34486813022251617,0.42618650437408534
tabula_lung_endo,43,0.05,true_rescued_rare,rare_membership_score,5,0.34536782447405096,0.2588891406289664,0.36477534633759556
tabula_lung_endo,43,0.10,non_target,rare_membership_score,1716,0.0886349461235505,0.07873440461976376,0.09830211857306162
tabula_lung_endo,43,0.10,baseline_correct_rare,rare_membership_score,63,0.33878554171244674,0.3174785705265031,0.3918524407981545
tabula_lung_endo,43,0.10,unrescued_rare,rare_membership_score,2,0.17248103527867764,0.1687251839491218,0.1762368866082335
tabula_lung_endo,43,all,non_target,rare_membership_score,1716,0.14514202090038453,0.13095739979268217,0.16127498429723713
tabula_lung_endo,43,all,baseline_correct_rare,rare_membership_score,65,0.42001759315772175,0.36119077113200576,0.44157785863184773
tabula_lung_endo,44,0.01,non_target,rare_membership_score,1716,0.09414758318222279,0.0832940381962858,0.10647584927789135
tabula_lung_endo,44,0.01,true_rescued_rare,rare_membership_score,23,0.2809678322008254,0.2324676348264879,0.31956702334849374
tabula_lung_endo,44,0.01,baseline_correct_rare,rare_membership_score,40,0.33036787604422935,0.305362669809228,0.3689937354799909
tabula_lung_endo,44,0.01,unrescued_rare,rare_membership_score,2,0.15137246994875644,0.14954517772104287,0.15319976217647002
tabula_lung_endo,44,0.05,non_target,rare_membership_score,1716,0.1287402381406716,0.11417461485162753,0.146383433469844
tabula_lung_endo,44,0.05,baseline_correct_rare,rare_membership_score,59,0.38443807218262704,0.3490661591853507,0.433239447017748
tabula_lung_endo,44,0.05,true_rescued_rare,rare_membership_score,6,0.253054258848955,0.24238309670460412,0.2602224498686297
tabula_lung_endo,44,0.10,non_target,rare_membership_score,1716,0.11666067830699822,0.10290805926358994,0.13280481266247457
tabula_lung_endo,44,0.10,baseline_correct_rare,rare_membership_score,63,0.3934165875563291,0.3519384563502262,0.4408606591260691
tabula_lung_endo,44,0.10,unrescued_rare,rare_membership_score,2,0.20688585181718094,0.20347861387525748,0.21029308975910443
tabula_lung_endo,44,all,non_target,rare_membership_score,1716,0.13275113980508374,0.11632258985355626,0.15207232011907698
tabula_lung_endo,44,all,baseline_correct_rare,rare_membership_score,63,0.41869243796939104,0.3706482582301611,0.4577697624539049
tabula_lung_endo,44,all,unrescued_rare,rare_membership_score,2,0.24779640401318165,0.2456116147513744,0.24998119327498886
tabula_sapiens_stomach,42,0.01,non_target,rare_membership_score,9543,0.0360099538590931,0.03232199746280576,0.03984547968300938
tabula_sapiens_stomach,42,0.01,baseline_correct_rare,rare_membership_score,12,0.11932514060163567,0.10943868202307865,0.14107577874043414
