dataset,seed,rare_train_size,contrast,left_group,right_group,metric,n_left,n_right,median_left,median_right,raw_median_difference,raw_cliffs_delta,hypothesis_direction,oriented_median_difference,oriented_cliffs_delta
immune_dc,42,0.05,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_prototype_distance,94,23,2.4989561340784716,3.375192285626247,-0.8762361515477752,-0.7363552266419982,-1.0,0.8762361515477752,0.7363552266419982
immune_dc,42,0.05,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,nearest_nonrare_distance,94,23,5.287317502976336,4.419256183459451,0.8680613195168849,0.7345050878815911,1.0,0.8680613195168849,0.7345050878815911
immune_dc,42,0.05,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,prototype_margin,94,23,2.9118129498673344,1.2385841065706602,1.6732288432966742,0.912118408880666,1.0,1.6732288432966742,0.912118408880666
immune_dc,42,0.05,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,scANVI_rare_probability,94,23,0.99911773,0.07931366,0.9198040700000001,1.0,,,
immune_dc,42,0.05,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_membership_score,23,13,0.2792456253569517,0.17660173857263425,0.10264388678431743,0.9933110367892977,1.0,0.10264388678431743,0.9933110367892977
immune_dc,42,0.05,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_rank,23,13,1.0,2.0,-1.0,-1.0,-1.0,1.0,1.0
immune_dc,42,0.05,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_standardized_distance,23,13,1.3118563145270232,1.771934823881054,-0.4600785093540307,-0.8327759197324415,-1.0,0.4600785093540307,0.8327759197324415
immune_dc,42,0.05,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,standardized_prototype_margin,23,13,0.10877421560714762,-0.6650768990523714,0.7738511146595191,1.0,1.0,0.7738511146595191,1.0
immune_dc,42,0.05,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_prototype_distance,23,13,3.375192285626247,4.558899234594978,-1.1837069489687315,-0.8327759197324415,-1.0,1.1837069489687315,0.8327759197324415
immune_dc,42,0.05,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,nearest_nonrare_distance,23,13,4.419256183459451,3.614411818867094,0.8048443645923569,0.7391304347826086,1.0,0.8048443645923569,0.7391304347826086
immune_dc,42,0.05,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,prototype_margin,23,13,1.2385841065706602,-0.7685850402642389,2.007169146834899,1.0,1.0,2.007169146834899,1.0
immune_dc,42,0.05,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,scANVI_rare_probability,23,13,0.07931366,1.9441046e-05,0.07929421895399999,0.9130434782608696,,,
immune_dc,42,0.05,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,rare_membership_score,23,6004,0.2792456253569517,0.07235053806981152,0.20689508728714018,0.9999710338035512,1.0,0.20689508728714018,0.9999710338035512
immune_dc,42,0.05,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,rare_rank,23,6004,1.0,6.0,-5.0,-0.9996668887408394,-1.0,5.0,0.9996668887408394
immune_dc,42,0.05,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,rare_standardized_distance,23,6004,1.3118563145270232,2.4935270347794942,-1.181670720252471,-0.9983054775077485,-1.0,1.181670720252471,0.9983054775077485
immune_dc,42,0.05,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,standardized_prototype_margin,23,6004,0.10877421560714762,-1.5598235605282769,1.6685977761354245,1.0,1.0,1.6685977761354245,1.0
immune_dc,42,0.05,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,rare_prototype_distance,23,6004,3.375192285626247,6.4154382752066805,-3.0402459895804337,-0.9983054775077485,-1.0,3.0402459895804337,0.9983054775077485
immune_dc,42,0.05,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,nearest_nonrare_distance,23,6004,4.419256183459451,2.790561813277624,1.6286943701818268,0.9027025461286677,1.0,1.6286943701818268,0.9027025461286677
immune_dc,42,0.05,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,prototype_margin,23,6004,1.2385841065706602,-3.602742604606978,4.841326711177638,0.9998841352142049,1.0,4.841326711177638,0.9998841352142049
