dataset,seed,rare_train_size,separability,repeat,decision_seed,original_pass,adaptive_pass,adaptive_reason,actual_folds,active_folds,val_missed,oof_delta_f1,oof_delta_f1_lcb,oof_ffr_wilson_upper,oof_false_rescues
pancreas_baron,43,0.01,1.1244837226660471,1,2280328936,True,True,oof_audit_passed,5,3,54,0.4134246575342466,0.29679130558170885,0.0070891437534947145,3
pancreas_baron,43,0.01,1.1244837226660471,2,2342903637,True,True,oof_audit_passed,5,3,54,0.37198135856517445,0.2616396103896104,0.0070891437534947145,3
pancreas_baron,43,0.01,1.1244837226660471,3,3342339376,True,True,oof_audit_passed,5,3,54,0.3575913242009132,0.2501779026217229,0.0070891437534947145,3
pancreas_baron,43,0.01,1.1244837226660471,4,2324095067,True,True,oof_audit_passed,5,4,54,0.4892737141380201,0.3772754907069654,0.0070891437534947145,3
pancreas_baron,43,0.01,1.1244837226660471,5,2930437498,True,True,oof_audit_passed,5,4,54,0.45245378374783884,0.3426983346983347,0.0070891437534947145,3
pancreas_baron,43,0.01,1.1244837226660471,6,506645043,True,True,oof_audit_passed,5,4,54,0.4581865622961514,0.3466666666666666,0.008265057188130219,4
pancreas_baron,43,0.01,1.1244837226660471,7,1219642795,True,True,oof_audit_passed,5,4,54,0.5010882089361157,0.3856390977443609,0.0070891437534947145,3
pancreas_baron,43,0.01,1.1244837226660471,8,2151223607,True,True,oof_audit_passed,5,4,54,0.4772341813437704,0.3638199224503292,0.0070891437534947145,3
pancreas_baron,43,0.01,1.1244837226660471,9,2544797344,True,True,oof_audit_passed,5,3,54,0.3860777187587364,0.27745380863801916,0.0070891437534947145,3
pancreas_baron,43,0.01,1.1244837226660471,10,3937042917,True,True,oof_audit_passed,5,4,54,0.46496311907270815,0.3533399646698785,0.0070891437534947145,3
pancreas_baron,43,0.01,1.1244837226660471,11,2922339484,True,True,oof_audit_passed,5,4,54,0.4330363080196835,0.32263283071392723,0.008265057188130219,4
pancreas_baron,43,0.01,1.1244837226660471,12,3594320462,True,True,oof_audit_passed,5,5,54,0.549884834525397,0.4296590135528189,0.008265057188130219,4
pancreas_baron,43,0.01,1.1244837226660471,13,2278772352,True,True,oof_audit_passed,5,4,54,0.45245378374783884,0.33727175080558536,0.0070891437534947145,3
pancreas_baron,43,0.01,1.1244837226660471,14,2628241642,True,True,oof_audit_passed,5,4,54,0.4581865622961514,0.3489082832832833,0.008265057188130219,4
