dataset,seed,rts,rare_class,k,sep,variant,abstain,abstain_reason,chosen_rank,rare_f1,rare_recall,rare_precision,rare_fp_rate,rescue_ffr,n_rescued,n_false_rescue
pancreas_integrated,44,0.01,endothelial,3,1.4167,kNN+scRareRefine,True,val_missed=1 < MIN_VAL_MISSED=3,0,0.9302,0.8696,1.0,0.0,0.0,0,0
pancreas_integrated,44,0.05,endothelial,3,1.5341,kNN,False,,0,0.9778,0.9565,1.0,0.0,0.0,0,0
pancreas_integrated,44,0.05,endothelial,3,1.5341,kNN+scRareRefine,True,val_missed=1 < MIN_VAL_MISSED=3,0,0.9778,0.9565,1.0,0.0,0.0,0,0
pancreas_integrated,44,0.10,endothelial,3,1.5686,kNN,False,,0,0.9778,0.9565,1.0,0.0,0.0,0,0
pancreas_integrated,44,0.10,endothelial,3,1.5686,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9778,0.9565,1.0,0.0,0.0,0,0
pancreas_integrated,44,all,endothelial,15,1.3665,kNN,False,,0,0.9787,1.0,0.9583,0.000588,0.0,0,0
pancreas_integrated,44,all,endothelial,15,1.3665,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9787,1.0,0.9583,0.000588,0.0,0,0
tabula_lung_endo,42,0.01,endothelial cell of lymphatic vessel,3,2.3468,kNN,False,,0,0.9076,0.8308,1.0,0.0,0.0,0,0
tabula_lung_endo,42,0.01,endothelial cell of lymphatic vessel,3,2.3468,kNN+scRareRefine,False,,1,0.9848,1.0,0.9701,0.001166,0.001166,13,2
tabula_lung_endo,42,0.05,endothelial cell of lymphatic vessel,5,1.879,kNN,False,,0,0.944,0.9077,0.9833,0.000583,0.0,0,0
tabula_lung_endo,42,0.05,endothelial cell of lymphatic vessel,5,1.879,kNN+scRareRefine,True,val_missed=1 < MIN_VAL_MISSED=3,0,0.944,0.9077,0.9833,0.000583,0.0,0,0
tabula_lung_endo,42,0.10,endothelial cell of lymphatic vessel,3,1.6589,kNN,False,,0,0.96,0.9231,1.0,0.0,0.0,0,0
tabula_lung_endo,42,0.10,endothelial cell of lymphatic vessel,3,1.6589,kNN+scRareRefine,True,val_missed=1 < MIN_VAL_MISSED=3,0,0.96,0.9231,1.0,0.0,0.0,0,0
tabula_lung_endo,42,all,endothelial cell of lymphatic vessel,3,1.671,kNN,False,,0,0.9771,0.9846,0.9697,0.001166,0.0,0,0
tabula_lung_endo,42,all,endothelial cell of lymphatic vessel,3,1.671,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9771,0.9846,0.9697,0.001166,0.0,0,0
tabula_lung_endo,43,0.01,endothelial cell of lymphatic vessel,3,1.9886,kNN,False,,0,0.8889,0.8,1.0,0.0,0.0,0,0
