dataset,rare_class,actual_training_labeled_rare_count,variant,variant_group,seed,n_identity_runs,rare_f1,rare_recall,rescue_precision,incremental_fpr,abstain,alpha_violation
immune_dc,ASDC,277,fixed_rank_1,component,43,1,0.952755905511811,0.9307692307692308,1.0,0.0,0.0,0.0
immune_dc,ASDC,277,minus_conformal_tau,component,43,1,0.952755905511811,0.9307692307692308,1.0,0.0,0.0,0.0
immune_dc,ASDC,277,full_method,component,43,1,0.952755905511811,0.9307692307692308,1.0,0.0,0.0,0.0
immune_dc,ASDC,277,rank_1,rank,43,1,0.952755905511811,0.9307692307692308,1.0,0.0,0.0,0.0
immune_dc,ASDC,277,rank_2,rank,43,1,0.8300653594771242,0.9769230769230769,0.14814814814814814,0.007661558960692871,0.0,0.0
immune_dc,ASDC,277,rank_3,rank,43,1,0.8193548387096774,0.9769230769230769,0.13793103448275862,0.008327781479013991,0.0,0.0
immune_dc,ASDC,277,adaptive_rank,rank,43,1,0.952755905511811,0.9307692307692308,1.0,0.0,0.0,0.0
immune_dc,ASDC,5,baseline,component,44,1,0.0,0.0,,0.0,0.0,0.0
immune_dc,ASDC,5,minus_separability_gate,component,44,1,0.9473684210526315,0.9,1.0,0.0,0.0,0.0
immune_dc,ASDC,5,minus_necessity_gate,component,44,1,0.9473684210526315,0.9,1.0,0.0,0.0,0.0
immune_dc,ASDC,5,fixed_rank_1,component,44,1,0.9473684210526315,0.9,1.0,0.0,0.0,0.0
immune_dc,ASDC,5,minus_conformal_tau,component,44,1,0.9473684210526315,0.9,1.0,0.0,0.0,0.0
immune_dc,ASDC,5,full_method,component,44,1,0.9473684210526315,0.9,1.0,0.0,0.0,0.0
immune_dc,ASDC,5,rank_1,rank,44,1,0.9473684210526315,0.9,1.0,0.0,0.0,0.0
immune_dc,ASDC,5,rank_2,rank,44,1,0.8305647840531561,0.9615384615384616,0.7309941520467836,0.007661558960692871,0.0,0.0
immune_dc,ASDC,5,rank_3,rank,44,1,0.8012820512820513,0.9615384615384616,0.6868131868131868,0.00949367088607595,0.0,0.0
immune_dc,ASDC,5,adaptive_rank,rank,44,1,0.9473684210526315,0.9,1.0,0.0,0.0,0.0
immune_dc,ASDC,13,baseline,component,44,1,0.8803418803418803,0.7923076923076923,,0.0,0.0,0.0
immune_dc,ASDC,13,minus_separability_gate,component,44,1,0.9375,0.9230769230769231,0.7727272727272727,0.0008327781479013991,0.0,0.0
immune_dc,ASDC,13,minus_necessity_gate,component,44,1,0.9375,0.9230769230769231,0.7727272727272727,0.0008327781479013991,0.0,0.0
immune_dc,ASDC,13,fixed_rank_1,component,44,1,0.9375,0.9230769230769231,0.7727272727272727,0.0008327781479013991,0.0,0.0
immune_dc,ASDC,13,minus_conformal_tau,component,44,1,0.9375,0.9230769230769231,0.7727272727272727,0.0008327781479013991,0.0,0.0
immune_dc,ASDC,13,full_method,component,44,1,0.9375,0.9230769230769231,0.7727272727272727,0.0008327781479013991,0.0,0.0
immune_dc,ASDC,13,rank_1,rank,44,1,0.9375,0.9230769230769231,0.7727272727272727,0.0008327781479013991,0.0,0.0
immune_dc,ASDC,13,rank_2,rank,44,1,0.7974683544303798,0.9692307692307692,0.2804878048780488,0.00982678214523651,0.0,0.0
immune_dc,ASDC,13,rank_3,rank,44,1,0.7753846153846153,0.9692307692307692,0.25274725274725274,0.011325782811459028,0.0,1.0
immune_dc,ASDC,13,adaptive_rank,rank,44,1,0.9375,0.9230769230769231,0.7727272727272727,0.0008327781479013991,0.0,0.0
immune_dc,ASDC,27,baseline,component,44,1,0.921161825726141,0.8538461538461538,,0.0,0.0,0.0
immune_dc,ASDC,27,minus_separability_gate,component,44,1,0.9453125,0.9307692307692308,0.6666666666666666,0.0008327781479013991,0.0,0.0
immune_dc,ASDC,27,minus_necessity_gate,component,44,1,0.9453125,0.9307692307692308,0.6666666666666666,0.0008327781479013991,0.0,0.0
immune_dc,ASDC,27,fixed_rank_1,component,44,1,0.9453125,0.9307692307692308,0.6666666666666666,0.0008327781479013991,0.0,0.0
immune_dc,ASDC,27,minus_conformal_tau,component,44,1,0.9453125,0.9307692307692308,0.6666666666666666,0.0008327781479013991,0.0,0.0
immune_dc,ASDC,27,full_method,component,44,1,0.9453125,0.9307692307692308,0.6666666666666666,0.0008327781479013991,0.0,0.0
immune_dc,ASDC,27,rank_1,rank,44,1,0.9453125,0.9307692307692308,0.6666666666666666,0.0008327781479013991,0.0,0.0
immune_dc,ASDC,27,rank_2,rank,44,1,0.8155339805825242,0.9692307692307692,0.22058823529411764,0.00882744836775483,0.0,0.0
immune_dc,ASDC,27,rank_3,rank,44,1,0.802547770700637,0.9692307692307692,0.2054794520547945,0.009660226515656229,0.0,0.0
immune_dc,ASDC,27,adaptive_rank,rank,44,1,0.9453125,0.9307692307692308,0.6666666666666666,0.0008327781479013991,0.0,0.0
immune_dc,ASDC,277,baseline,component,44,1,0.9486166007905138,0.9230769230769231,,0.0,0.0,0.0
immune_dc,ASDC,277,minus_separability_gate,component,44,1,0.9348659003831418,0.9384615384615385,0.25,0.000999333777481679,0.0,0.0
immune_dc,ASDC,277,minus_necessity_gate,component,44,1,0.9348659003831418,0.9384615384615385,0.25,0.000999333777481679,0.0,0.0
immune_dc,ASDC,277,fixed_rank_1,component,44,1,0.9348659003831418,0.9384615384615385,0.25,0.000999333777481679,0.0,0.0
immune_dc,ASDC,277,minus_conformal_tau,component,44,1,0.9348659003831418,0.9384615384615385,0.25,0.000999333777481679,0.0,0.0
immune_dc,ASDC,277,full_method,component,44,1,0.9348659003831418,0.9384615384615385,0.25,0.000999333777481679,0.0,0.0
immune_dc,ASDC,277,rank_1,rank,44,1,0.9348659003831418,0.9384615384615385,0.25,0.000999333777481679,0.0,0.0
immune_dc,ASDC,277,rank_2,rank,44,1,0.8102893890675241,0.9692307692307692,0.10344827586206896,0.008660892738174551,0.0,0.0
immune_dc,ASDC,277,rank_3,rank,44,1,0.8076923076923077,0.9692307692307692,0.1016949152542373,0.00882744836775483,0.0,0.0
immune_dc,ASDC,277,adaptive_rank,rank,44,1,0.9348659003831418,0.9384615384615385,0.25,0.000999333777481679,0.0,0.0
pancreas_baron,gamma,5,baseline,component,42,1,0.2268041237113402,0.12790697674418605,,0.0,0.0,0.0
pancreas_baron,gamma,5,minus_separability_gate,component,42,1,0.7784431137724551,0.7558139534883721,0.7714285714285715,0.009768009768009768,0.0,0.0
pancreas_baron,gamma,5,minus_necessity_gate,component,42,1,0.7784431137724551,0.7558139534883721,0.7714285714285715,0.009768009768009768,0.0,0.0
pancreas_baron,gamma,5,fixed_rank_1,component,42,1,0.6567164179104478,0.5116279069767442,0.8918918918918919,0.002442002442002442,0.0,0.0
pancreas_baron,gamma,5,minus_conformal_tau,component,42,1,0.7428571428571429,0.7558139534883721,0.6923076923076923,0.014652014652014652,0.0,1.0
pancreas_baron,gamma,5,full_method,component,42,1,0.7784431137724551,0.7558139534883721,0.7714285714285715,0.009768009768009768,0.0,0.0
