dataset,config,seed,rare_train_size,rare_class,split_mode,run_dir,variant,separability,status,baseline_rare_f1,rare_f1,rare_recall,rare_precision,delta_rare_f1,true_rescues,false_rescues,all_rescues,incremental_fpr,alpha_violation,abstain,reason,chosen_rank,n_candidate,n_rescued,gate_mode,adaptive_pass,adaptive_reason,requested_folds,actual_folds,active_folds,val_missed,oof_baseline_f1,oof_refined_f1,oof_delta_f1,oof_delta_f1_lcb,oof_delta_f1_median,oof_delta_f1_ucb,oof_false_rescues,oof_incremental_fpr,oof_ffr_wilson_upper,fold_chosen_ranks,fold_reasons
immune_dc,configs/immune_dc.yaml,44,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare1pct,no_sep_gate,2.7582922544892616,success,0.0,0.9473684210526315,0.9,1.0,0.9473684210526315,117,0,117,0.0,False,False,,1,117,117,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,44,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare1pct,adaptive_sep_gate,2.7582922544892616,success,0.0,0.9473684210526315,0.9,1.0,0.9473684210526315,117,0,117,0.0,False,False,,1,117,117,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,114.0,,,,,,,0.0,,,[],[]
immune_dc,configs/immune_dc.yaml,44,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare5pct,fixed_s1.3,1.6314302225629382,success,0.8803418803418803,0.9375,0.9230769230769231,0.9523809523809523,0.05715811965811968,17,5,22,0.0008327781479013991,False,False,,1,22,22,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,44,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare5pct,no_sep_gate,1.6314302225629382,success,0.8803418803418803,0.9375,0.9230769230769231,0.9523809523809523,0.05715811965811968,17,5,22,0.0008327781479013991,False,False,,1,22,22,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,44,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare5pct,adaptive_sep_gate,1.6314302225629382,success,0.8803418803418803,0.9375,0.9230769230769231,0.9523809523809523,0.05715811965811968,17,5,22,0.0008327781479013991,False,False,,1,22,22,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,24.0,,,,,,,0.0,,,[],[]
immune_dc,configs/immune_dc.yaml,44,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare10pct,fixed_s1.3,1.9126686449948958,success,0.921161825726141,0.9453125,0.9307692307692308,0.9603174603174603,0.024150674273858974,10,5,15,0.0008327781479013991,False,False,,1,15,15,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,44,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare10pct,no_sep_gate,1.9126686449948958,success,0.921161825726141,0.9453125,0.9307692307692308,0.9603174603174603,0.024150674273858974,10,5,15,0.0008327781479013991,False,False,,1,15,15,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,44,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare10pct,adaptive_sep_gate,1.9126686449948958,success,0.921161825726141,0.9453125,0.9307692307692308,0.9603174603174603,0.024150674273858974,10,5,15,0.0008327781479013991,False,False,,1,15,15,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,21.0,,,,,,,0.0,,,[],[]
immune_dc,configs/immune_dc.yaml,44,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rareall,fixed_s1.3,1.8291981444218912,success,0.9486166007905138,0.9348659003831418,0.9384615384615385,0.9312977099236641,-0.01375070040737203,2,6,8,0.000999333777481679,False,False,,1,8,8,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,44,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rareall,no_sep_gate,1.8291981444218912,success,0.9486166007905138,0.9348659003831418,0.9384615384615385,0.9312977099236641,-0.01375070040737203,2,6,8,0.000999333777481679,False,False,,1,8,8,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,44,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rareall,adaptive_sep_gate,1.8291981444218912,success,0.9486166007905138,0.9348659003831418,0.9384615384615385,0.9312977099236641,-0.01375070040737203,2,6,8,0.000999333777481679,False,False,,1,8,8,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,8.0,,,,,,,0.0,,,[],[]
pancreas_baron,configs/pancreas_baron.yaml,42,0.01,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare1pct,fixed_s1.3,1.5213334094991247,success,0.2268041237113402,0.7784431137724551,0.7558139534883721,0.8024691358024691,0.5516389900611149,54,16,70,0.009768009768009768,False,False,,2,78,70,,,,,,,,,,,,,,,,,,
pancreas_baron,configs/pancreas_baron.yaml,42,0.01,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare1pct,no_sep_gate,1.5213334094991247,success,0.2268041237113402,0.7784431137724551,0.7558139534883721,0.8024691358024691,0.5516389900611149,54,16,70,0.009768009768009768,False,False,,2,78,70,,,,,,,,,,,,,,,,,,
