dataset,config,seed,rare_train_size,rare_class,split_mode,run_dir,variant,separability,status,baseline_rare_f1,rare_f1,rare_recall,rare_precision,delta_rare_f1,true_rescues,false_rescues,all_rescues,incremental_fpr,alpha_violation,abstain,reason,chosen_rank,n_candidate,n_rescued,gate_mode,adaptive_pass,adaptive_reason,requested_folds,actual_folds,active_folds,val_missed,oof_baseline_f1,oof_refined_f1,oof_delta_f1,oof_delta_f1_lcb,oof_delta_f1_median,oof_delta_f1_ucb,oof_false_rescues,oof_incremental_fpr,oof_ffr_wilson_upper,fold_chosen_ranks,fold_reasons
tabula_lung_endo,configs/tabula_lung_endo.yaml,42,0.01,endothelial cell of lymphatic vessel,cell_stratified,outputs\tabula_lung_endo\cell_stratified_seed42_endothelial_cell_of_lymphatic_vessel_rare1pct,adaptive_sep_gate,2.400102014078693,success,0.0425531914893617,0.989010989010989,0.9782608695652174,1.0,0.9464577975216274,44,0,44,0.0,False,False,,1,44,44,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,46.0,,,,,,,0.0,,,[],[]
tabula_lung_endo,configs/tabula_lung_endo.yaml,42,0.05,endothelial cell of lymphatic vessel,cell_stratified,outputs\tabula_lung_endo\cell_stratified_seed42_endothelial_cell_of_lymphatic_vessel_rare5pct,fixed_s1.3,1.9929171076867054,success,0.7397260273972602,0.989010989010989,0.9782608695652174,1.0,0.24928496161372882,18,0,18,0.0,False,False,,1,18,18,,,,,,,,,,,,,,,,,,
tabula_lung_endo,configs/tabula_lung_endo.yaml,42,0.05,endothelial cell of lymphatic vessel,cell_stratified,outputs\tabula_lung_endo\cell_stratified_seed42_endothelial_cell_of_lymphatic_vessel_rare5pct,no_sep_gate,1.9929171076867054,success,0.7397260273972602,0.989010989010989,0.9782608695652174,1.0,0.24928496161372882,18,0,18,0.0,False,False,,1,18,18,,,,,,,,,,,,,,,,,,
tabula_lung_endo,configs/tabula_lung_endo.yaml,42,0.05,endothelial cell of lymphatic vessel,cell_stratified,outputs\tabula_lung_endo\cell_stratified_seed42_endothelial_cell_of_lymphatic_vessel_rare5pct,adaptive_sep_gate,1.9929171076867054,success,0.7397260273972602,0.989010989010989,0.9782608695652174,1.0,0.24928496161372882,18,0,18,0.0,False,False,,1,18,18,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,20.0,,,,,,,0.0,,,[],[]
tabula_lung_endo,configs/tabula_lung_endo.yaml,42,0.10,endothelial cell of lymphatic vessel,cell_stratified,outputs\tabula_lung_endo\cell_stratified_seed42_endothelial_cell_of_lymphatic_vessel_rare10pct,fixed_s1.3,1.735460529199914,success,0.989010989010989,0.989010989010989,0.9782608695652174,1.0,0.0,0,0,0,0.0,False,True,val baseline 零漏判稀有,0,0,0,,,,,,,,,,,,,,,,,,
tabula_lung_endo,configs/tabula_lung_endo.yaml,42,0.10,endothelial cell of lymphatic vessel,cell_stratified,outputs\tabula_lung_endo\cell_stratified_seed42_endothelial_cell_of_lymphatic_vessel_rare10pct,no_sep_gate,1.735460529199914,success,0.989010989010989,0.989010989010989,0.9782608695652174,1.0,0.0,0,0,0,0.0,False,True,necessity,0,0,0,,,,,,,,,,,,,,,,,,
tabula_lung_endo,configs/tabula_lung_endo.yaml,42,0.10,endothelial cell of lymphatic vessel,cell_stratified,outputs\tabula_lung_endo\cell_stratified_seed42_endothelial_cell_of_lymphatic_vessel_rare10pct,adaptive_sep_gate,1.735460529199914,success,0.989010989010989,0.989010989010989,0.9782608695652174,1.0,0.0,0,0,0,0.0,False,True,val baseline 零漏判稀有,0,0,0,fixed_pass,False,fixed_s_gate_passed,5.0,0.0,0.0,0.0,,,,,,,0.0,,,[],[]
tabula_lung_endo,configs/tabula_lung_endo.yaml,42,all,endothelial cell of lymphatic vessel,cell_stratified,outputs\tabula_lung_endo\cell_stratified_seed42_endothelial_cell_of_lymphatic_vessel_rareall,fixed_s1.3,1.624004480356027,success,1.0,1.0,1.0,1.0,0.0,0,0,0,0.0,False,True,val baseline 零漏判稀有,0,0,0,,,,,,,,,,,,,,,,,,
tabula_lung_endo,configs/tabula_lung_endo.yaml,42,all,endothelial cell of lymphatic vessel,cell_stratified,outputs\tabula_lung_endo\cell_stratified_seed42_endothelial_cell_of_lymphatic_vessel_rareall,no_sep_gate,1.624004480356027,success,1.0,1.0,1.0,1.0,0.0,0,0,0,0.0,False,True,necessity,0,0,0,,,,,,,,,,,,,,,,,,
tabula_lung_endo,configs/tabula_lung_endo.yaml,42,all,endothelial cell of lymphatic vessel,cell_stratified,outputs\tabula_lung_endo\cell_stratified_seed42_endothelial_cell_of_lymphatic_vessel_rareall,adaptive_sep_gate,1.624004480356027,success,1.0,1.0,1.0,1.0,0.0,0,0,0,0.0,False,True,val baseline 零漏判稀有,0,0,0,fixed_pass,False,fixed_s_gate_passed,5.0,0.0,0.0,0.0,,,,,,,0.0,,,[],[]
