dataset,seed,rare_train_size,rare_class,split_mode,run_dir,backbone,representation,alpha,tosica_cutoff,status,error_reason,n_hvg,n_classes,n_labeled_train,n_labeled_rare,n_validation,n_test,n_validation_unknown,n_test_unknown,separability,baseline_rare_f1,baseline_rare_recall,baseline_rare_precision,refined_rare_f1,refined_rare_recall,refined_rare_precision,delta_rare_f1,delta_rare_recall,true_rescues,false_rescues,all_rescues,rescue_precision,rescue_fdp,incremental_fpr,rescue_ffr,alpha_violation,abstain,abstain_reason,chosen_rank,tau,val_missed,n_candidate,wall_time_seconds,labeled_train_id_sha256,hvg_sha256
tabula_small_intestine,42,0.10,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed42_intestinal_tuft_cell_rare10pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,3000,34,23998,31,9715,6353,0,0,9.225451844384558,0.3442622950819672,0.3230769230769231,0.3684210526315789,0.3673469387755102,0.4153846153846154,0.32926829268292684,0.023084643693543017,0.09230769230769231,6,19,25,0.24,0.76,0.0030216284987277355,0.0030216284987277355,False,False,rescue_applied,1,0.000480746969139375,26,25,1545.7339900999978,3c976a59ddb3c42e6ce21b60706aa30375b68c407b1454d9225df26ac5834a9a,8bdd12b8e97ce6ea4040e102b759e8377e3fe0ac6972ced5b59801976e3b4f5d
tabula_small_intestine,42,all,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed42_intestinal_tuft_cell_rareall,TOSICA,native_48d_cls_latent,0.01,0.1,success,,3000,34,24282,315,9715,6353,0,0,4.176112659754471,0.3575418994413408,0.9846153846153847,0.21843003412969283,0.3575418994413408,0.9846153846153847,0.21843003412969283,0.0,0.0,0,0,0,,,0.0,0.0,False,True,val baseline 零漏判稀有,0,inf,0,0,1552.1087125000013,77a57ace4364e41edb470a3f79b22a59a5123fff10c6b24a702bf29f37033533,8bdd12b8e97ce6ea4040e102b759e8377e3fe0ac6972ced5b59801976e3b4f5d
mouse_lung_tms_10x,42,0.01,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rare1pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,29,21377,5,1584,1367,0,0,43.477032297381086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,False,False,rescue_applied,1,6.3630349899191695e-21,56,0,6318.646769999999,7d8cf66057486f62c243836cc5a3a11dd91217b031adea13f38f20942cc8fc75,531e0e60099370cdac1df4c791a0b0776c1dddddd3312f7ad44a8dc9a660a350
mouse_lung_tms_10x,42,0.05,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rare5pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,29,21382,10,1584,1367,0,0,27.15451552995238,0.1111111111111111,0.058823529411764705,1.0,0.24615384615384617,0.1568627450980392,0.5714285714285714,0.13504273504273506,0.09803921568627451,5,6,11,0.45454545454545453,0.5454545454545454,0.004559270516717325,0.004559270516717325,False,False,rescue_applied,2,2.538714353912393e-11,53,14,6418.443404699996,83ceca36cf7b72f2bbffe02fabe6d6e80dce7943f6af67d3f758f389cfe13122,531e0e60099370cdac1df4c791a0b0776c1dddddd3312f7ad44a8dc9a660a350
mouse_lung_tms_10x,42,0.10,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rare10pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,29,21393,21,1584,1367,0,0,26.85339679361358,0.17857142857142858,0.09803921568627451,1.0,0.2413793103448276,0.13725490196078433,1.0,0.06280788177339902,0.03921568627450982,2,0,2,1.0,0.0,0.0,0.0,False,False,rescue_applied,1,3.4123801666814226e-10,53,2,6554.181707199998,a097de8b40b7d6d34b2eb0a619d03d0de9dcc96fd0845636e6deb0e6004ed69b,531e0e60099370cdac1df4c791a0b0776c1dddddd3312f7ad44a8dc9a660a350
mouse_lung_tms_10x,42,all,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rareall,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,29,21585,213,1584,1367,0,0,13.968462988842566,0.7789473684210526,0.7254901960784313,0.8409090909090909,0.84,0.8235294117647058,0.8571428571428571,0.06105263157894736,0.0980392156862745,5,0,5,1.0,0.0,0.0,0.0,False,False,rescue_applied,1,0.0020554842650244228,16,5,6154.288017300001,9bbc5fde846c8df4f0d22545b7c9818cee9d4b79e79d0491594e84b78a3e0f63,531e0e60099370cdac1df4c791a0b0776c1dddddd3312f7ad44a8dc9a660a350
mouse_pancreas_tms_10x,42,0.01,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed42_pancreatic_d_cell_rare1pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,9,4652,5,445,935,0,0,26.596270972423532,0.32941176470588235,0.19718309859154928,1.0,0.3488372093023256,0.2112676056338028,1.0,0.019425444596443242,0.01408450704225353,1,0,1,1.0,0.0,0.0,0.0,False,False,rescue_applied,1,1.2508146437388687e-09,25,1,553.3484488999966,d0abff585fae3cdb9abd8b1646cb7d65e4cb532b8f1da881fd54b36b8e0c70c2,c17501aab517449659b3c3c001fd748335d1e953c47b4c65cc90e87c0c6f0a58
mouse_pancreas_tms_10x,42,0.05,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed42_pancreatic_d_cell_rare5pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,9,4655,8,445,935,0,0,55.69139027368674,0.1794871794871795,0.09859154929577464,1.0,0.1794871794871795,0.09859154929577464,1.0,0.0,0.0,0,0,0,,,0.0,0.0,False,False,rescue_applied,1,3.35930511245418e-25,24,0,542.3159541999994,76952e7be02ae062a8af5778326026329d1db768aefafdd7de900b019b7a2eb7,c17501aab517449659b3c3c001fd748335d1e953c47b4c65cc90e87c0c6f0a58
mouse_pancreas_tms_10x,42,0.10,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed42_pancreatic_d_cell_rare10pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,9,4664,17,445,935,0,0,22.47949362955901,0.5052631578947369,0.3380281690140845,1.0,0.7130434782608696,0.5774647887323944,0.9318181818181818,0.2077803203661327,0.23943661971830987,17,3,20,0.85,0.15000000000000002,0.003472222222222222,0.003472222222222222,False,False,rescue_applied,3,2.1073254642330752e-10,22,20,537.6408680999957,94a1f073ec1e647ad70c3715036d3a4fa7b5c5ba45a6e61c504c01a99a998484,c17501aab517449659b3c3c001fd748335d1e953c47b4c65cc90e87c0c6f0a58
mouse_pancreas_tms_10x,42,all,pancreatic D cell,batch_heldout,outputs\mouse_pancreas_tms_10x\batch_heldout_seed42_pancreatic_d_cell_rareall,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,9,4821,174,445,935,0,0,14.085969398558536,0.8854961832061069,0.8169014084507042,0.9666666666666667,0.8854961832061069,0.8169014084507042,0.9666666666666667,0.0,0.0,0,0,0,,,0.0,0.0,False,False,rescue_applied,1,5.7316335735632365e-08,10,0,523.5306974999985,95721ee40322d98bfe6581d139f72127c22a152ceca842c29d64f11616084af4,c17501aab517449659b3c3c001fd748335d1e953c47b4c65cc90e87c0c6f0a58
