dataset,rare_train_size,method,n_ok,f1_mean,f1_std,rec_mean,rec_std,fp_rate_max
tabula_sapiens_stomach,0.10,kNN,3,0.2846,0.0441,0.1667,0.0295,0.0
tabula_sapiens_stomach,0.10,CellTypist,3,0.4905,0.1235,0.3333,0.1031,0.0
tabula_sapiens_stomach,0.10,scBalance,3,0.3544,0.1776,0.2292,0.1284,0.0
tabula_sapiens_stomach,0.10,ProtoCloud,3,0.3537,0.0944,0.2187,0.0675,0.0
tabula_sapiens_stomach,0.10,HiCat,3,0.0202,0.0286,0.0104,0.0147,0.0
tabula_sapiens_stomach,0.10,scCAD,3,0.2546,0.0557,0.8646,0.0147,0.020539
tabula_sapiens_stomach,0.10,TOSICA,3,0.1929,0.144,0.2708,0.164,0.020853
tabula_sapiens_stomach,0.10,scRareRefine,3,0.7191,0.0216,0.5729,0.0148,0.00021
tabula_sapiens_stomach,all,scANVI,3,0.5585,0.1145,0.3958,0.1062,0.0
tabula_sapiens_stomach,all,kNN,3,0.5111,0.0283,0.3438,0.0255,0.0
tabula_sapiens_stomach,all,CellTypist,3,0.8214,0.0,0.7188,0.0,0.000105
tabula_sapiens_stomach,all,scBalance,3,0.7257,0.0796,0.6771,0.039,0.001991
tabula_sapiens_stomach,all,ProtoCloud,3,0.8556,0.0061,0.7708,0.0147,0.00021
tabula_sapiens_stomach,all,HiCat,3,0.7841,0.0291,0.6458,0.0389,0.0
tabula_sapiens_stomach,all,scCAD,3,0.2583,0.0562,0.875,0.0255,0.020539
tabula_sapiens_stomach,all,TOSICA,3,0.066,0.0,0.3125,0.0,0.02735
tabula_sapiens_stomach,all,scRareRefine,3,0.7197,0.0209,0.5625,0.0256,0.0
pancreas_integrated,0.01,scANVI,3,0.6667,0.4714,0.6667,0.4714,0.0
pancreas_integrated,0.01,kNN,3,0.9693,0.0291,0.942,0.0542,0.0
pancreas_integrated,0.01,CellTypist,3,0.9852,0.0105,0.971,0.0205,0.0
pancreas_integrated,0.01,scBalance,3,0.9619,0.0224,0.9275,0.041,0.0
pancreas_integrated,0.01,ProtoCloud,3,0.9291,0.0344,0.8696,0.0615,0.0
pancreas_integrated,0.01,HiCat,3,0.1757,0.1271,0.1014,0.0739,0.0
pancreas_integrated,0.01,scCAD,3,0.694,0.0512,1.0,0.0,0.016461
pancreas_integrated,0.01,TOSICA,3,0.6611,0.1733,0.5217,0.216,0.0
pancreas_integrated,0.01,scRareRefine,3,1.0,0.0,1.0,0.0,0.0
pancreas_integrated,0.05,scANVI,3,1.0,0.0,1.0,0.0,0.0
pancreas_integrated,0.05,kNN,3,0.9855,0.0103,0.9855,0.0205,0.000588
pancreas_integrated,0.05,CellTypist,3,0.9719,0.0096,1.0,0.0,0.001176
