region,analysis,baseline,dataset,dataset_effect,n_within_dataset_pairs
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scANVI,tabula_sapiens_stomach,0.11216666666666668,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,scANVI,tabula_small_intestine,0.0,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scANVI,immune_dc,0.34292222222222224,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scANVI,mouse_lung_tms_10x,0.14755555555555555,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scANVI,mouse_pancreas_tms_10x,0.1311,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scANVI,pancreas_baron,0.10318333333333334,6
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scANVI,pancreas_integrated,0.1111111111111111,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scANVI,tabula_lung_endo,0.26130000000000003,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scANVI,tabula_sapiens_stomach,0.11216666666666668,3
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,scANVI,tabula_small_intestine,0.0,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,kNN,immune_dc,0.21784444444444442,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,kNN,mouse_lung_tms_10x,0.11122222222222221,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,kNN,mouse_pancreas_tms_10x,0.05983333333333334,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,kNN,pancreas_baron,0.1958222222222222,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,kNN,pancreas_integrated,0.015155555555555552,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,kNN,tabula_lung_endo,0.053188888888888904,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,kNN,tabula_sapiens_stomach,0.43453333333333327,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,kNN,tabula_small_intestine,0.0027444444444444877,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,kNN,immune_dc,0.21784444444444442,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,kNN,mouse_lung_tms_10x,0.11122222222222221,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,kNN,mouse_pancreas_tms_10x,0.05983333333333334,9
