dataset,seed,rare_train_size,lab_rare,rare_class,method,status,sep,best_k,rare_f1,rare_recall,rare_precision,macro_f1,rare_fp_rate,n_rescued,n_false_rescue,rescue_ffr
pancreas_baron,43,all,106,gamma,CellTypist,ok,1.1218,,0.9829,1.0,0.9663,0.7231,0.001832,11,2,0.001221
pancreas_baron,43,all,106,gamma,scBalance,ok,1.1218,,0.9651,0.9651,0.9651,0.7767,0.001832,9,2,0.001221
pancreas_baron,43,all,106,gamma,scRareRefine,ok,1.1218,,0.9222,0.8953,0.9506,0.6229,0.002442,0,0,0.0
pancreas_baron,44,0.01,5,gamma,scANVI,ok,1.222,,0.6769,0.5116,1.0,0.6523,0.0,0,0,0.0
pancreas_baron,44,0.01,5,gamma,kNN,ok,1.222,3.0,0.5968,0.4302,0.9737,0.6357,0.000611,7,1,0.000611
pancreas_baron,44,0.01,5,gamma,CellTypist,ok,1.222,,0.0889,0.0465,1.0,0.6506,0.0,0,0,0.0
pancreas_baron,44,0.01,5,gamma,scBalance,ok,1.222,,0.1702,0.093,1.0,0.6581,0.0,3,0,0.0
pancreas_baron,44,0.01,5,gamma,scRareRefine,ok,1.222,,0.6769,0.5116,1.0,0.6523,0.0,0,0,0.0
pancreas_baron,44,0.05,5,gamma,scANVI,ok,1.222,,0.6769,0.5116,1.0,0.6523,0.0,0,0,0.0
pancreas_baron,44,0.05,5,gamma,kNN,ok,1.222,3.0,0.5968,0.4302,0.9737,0.6357,0.000611,7,1,0.000611
pancreas_baron,44,0.05,5,gamma,CellTypist,ok,1.222,,0.0889,0.0465,1.0,0.6506,0.0,0,0,0.0
pancreas_baron,44,0.05,5,gamma,scBalance,ok,1.222,,0.3462,0.2093,1.0,0.6598,0.0,5,0,0.0
pancreas_baron,44,0.05,5,gamma,scRareRefine,ok,1.222,,0.6769,0.5116,1.0,0.6523,0.0,0,0,0.0
pancreas_baron,44,0.10,10,gamma,scANVI,ok,1.1241,,0.8875,0.8256,0.9595,0.71,0.001832,0,0,0.0
pancreas_baron,44,0.10,10,gamma,kNN,ok,1.1241,3.0,0.7862,0.6628,0.9661,0.6293,0.001221,0,0,0.0
pancreas_baron,44,0.10,10,gamma,CellTypist,ok,1.1241,,0.7068,0.5465,1.0,0.7083,0.0,1,0,0.0
pancreas_baron,44,0.10,10,gamma,scBalance,ok,1.1241,,0.608,0.4419,0.9744,0.7106,0.000611,2,1,0.000611
pancreas_baron,44,0.10,10,gamma,scRareRefine,ok,1.1241,,0.8875,0.8256,0.9595,0.71,0.001832,0,0,0.0
pancreas_baron,44,all,106,gamma,scANVI,ok,1.0929,,0.897,0.8605,0.9367,0.6961,0.003053,0,0,0.0
pancreas_baron,44,all,106,gamma,kNN,ok,1.0929,3.0,0.9143,0.9302,0.8989,0.6747,0.005495,12,6,0.003663
pancreas_baron,44,all,106,gamma,CellTypist,ok,1.0929,,0.9829,1.0,0.9663,0.7231,0.001832,13,1,0.000611
pancreas_baron,44,all,106,gamma,scBalance,ok,1.0929,,0.9829,1.0,0.9663,0.7409,0.001832,14,2,0.001221
pancreas_baron,44,all,106,gamma,scRareRefine,ok,1.0929,,0.897,0.8605,0.9367,0.6961,0.003053,0,0,0.0
tabula_lung_endo,42,0.01,5,endothelial cell of lymphatic vessel,scANVI,ok,2.3468,,0.0,0.0,0.0,0.5539,0.0,0,0,0.0
tabula_lung_endo,42,0.01,5,endothelial cell of lymphatic vessel,kNN,ok,2.3468,3.0,0.9076,0.8308,1.0,0.8014,0.0,54,0,0.0
tabula_lung_endo,42,0.01,5,endothelial cell of lymphatic vessel,CellTypist,ok,2.3468,,0.2895,0.1692,1.0,0.635,0.0,11,0,0.0
tabula_lung_endo,42,0.01,5,endothelial cell of lymphatic vessel,scBalance,ok,2.3468,,0.617,0.4462,1.0,0.7274,0.0,29,0,0.0
tabula_lung_endo,42,0.01,5,endothelial cell of lymphatic vessel,scRareRefine,ok,2.3468,,0.9848,1.0,0.9701,0.8238,0.001166,67,2,0.001166
tabula_lung_endo,42,0.05,10,endothelial cell of lymphatic vessel,scANVI,ok,1.879,,0.6667,0.5077,0.9706,0.7156,0.000583,0,0,0.0
tabula_lung_endo,42,0.05,10,endothelial cell of lymphatic vessel,kNN,ok,1.879,5.0,0.944,0.9077,0.9833,0.8046,0.000583,29,1,0.000583
tabula_lung_endo,42,0.05,10,endothelial cell of lymphatic vessel,CellTypist,ok,1.879,,0.6735,0.5077,1.0,0.7388,0.0,10,0,0.0
