dataset,seed,rare_train_size,method,sep,rare_f1,rare_recall,rare_precision,rare_fp_rate,rescue_ffr
tabula_lung_endo,44,all,scRareRefine,1.6533,0.9692,0.9692,0.9692,0.001166,0.0
tabula_small_intestine,42,0.01,scANVI,3.165,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,42,0.01,kNN,3.165,0.9848,1.0,0.9701,0.000318,0.0
tabula_small_intestine,42,0.01,scRareRefine,3.165,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,42,0.05,scANVI,2.6237,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,42,0.05,kNN,2.6237,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,42,0.05,scRareRefine,2.6237,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,42,0.10,scANVI,2.301,0.9848,1.0,0.9701,0.000318,0.0
tabula_small_intestine,42,0.10,kNN,2.301,0.9848,1.0,0.9701,0.000318,0.0
tabula_small_intestine,42,0.10,scRareRefine,2.301,0.9848,1.0,0.9701,0.000318,0.0
tabula_small_intestine,42,all,scANVI,2.4477,0.9701,1.0,0.942,0.000636,0.0
tabula_small_intestine,42,all,kNN,2.4477,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,42,all,scRareRefine,2.4477,0.9701,1.0,0.942,0.000636,0.0
tabula_small_intestine,43,0.01,scANVI,2.5937,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,43,0.01,kNN,2.5937,0.9692,0.9692,0.9692,0.000318,0.0
tabula_small_intestine,43,0.01,scRareRefine,2.5937,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,43,0.05,scANVI,2.4086,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,43,0.05,kNN,2.4086,0.9771,0.9846,0.9697,0.000318,0.0
tabula_small_intestine,43,0.05,scRareRefine,2.4086,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,43,0.10,scANVI,3.2691,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,43,0.10,kNN,3.2691,0.9697,0.9846,0.9552,0.000477,0.0
tabula_small_intestine,43,0.10,scRareRefine,3.2691,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,43,all,scANVI,2.6232,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,43,all,kNN,2.6232,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,43,all,scRareRefine,2.6232,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,44,0.01,scANVI,2.5892,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,44,0.01,kNN,2.5892,0.9692,0.9692,0.9692,0.000318,0.0
tabula_small_intestine,44,0.01,scRareRefine,2.5892,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,44,0.05,scANVI,2.1813,0.9848,1.0,0.9701,0.000318,0.0
tabula_small_intestine,44,0.05,kNN,2.1813,0.9771,0.9846,0.9697,0.000318,0.0
tabula_small_intestine,44,0.05,scRareRefine,2.1813,0.9848,1.0,0.9701,0.000318,0.0
tabula_small_intestine,44,0.10,scANVI,2.6335,0.9848,1.0,0.9701,0.000318,0.0
tabula_small_intestine,44,0.10,kNN,2.6335,0.9848,1.0,0.9701,0.000318,0.0
tabula_small_intestine,44,0.10,scRareRefine,2.6335,0.9848,1.0,0.9701,0.000318,0.0
tabula_small_intestine,44,all,scANVI,2.3482,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,44,all,kNN,2.3482,0.9774,1.0,0.9559,0.000477,0.0
tabula_small_intestine,44,all,scRareRefine,2.3482,0.9774,1.0,0.9559,0.000477,0.0
tabula_sapiens_stomach,42,0.01,scANVI,1.7794,0.5455,0.375,1.0,0.0,0.0
tabula_sapiens_stomach,42,0.01,kNN,1.7794,0.2222,0.125,1.0,0.0,0.0
tabula_sapiens_stomach,42,0.01,scRareRefine,1.7794,0.7451,0.5938,1.0,0.0,0.0
tabula_sapiens_stomach,42,0.05,scANVI,1.7794,0.5455,0.375,1.0,0.0,0.0
tabula_sapiens_stomach,42,0.05,kNN,1.7794,0.2222,0.125,1.0,0.0,0.0
tabula_sapiens_stomach,42,0.05,scRareRefine,1.7794,0.7451,0.5938,1.0,0.0,0.0
tabula_sapiens_stomach,42,0.10,scANVI,1.7794,0.5455,0.375,1.0,0.0,0.0
tabula_sapiens_stomach,42,0.10,kNN,1.7794,0.2222,0.125,1.0,0.0,0.0
tabula_sapiens_stomach,42,0.10,scRareRefine,1.7794,0.7451,0.5938,1.0,0.0,0.0
tabula_sapiens_stomach,42,all,scANVI,1.8181,0.4,0.25,1.0,0.0,0.0
tabula_sapiens_stomach,42,all,kNN,1.8181,0.4762,0.3125,1.0,0.0,0.0
tabula_sapiens_stomach,42,all,scRareRefine,1.8181,0.6939,0.5312,1.0,0.0,0.0
tabula_sapiens_stomach,43,0.01,scANVI,2.5124,0.6667,0.5312,0.8947,0.00021,0.0
tabula_sapiens_stomach,43,0.01,kNN,2.5124,0.3158,0.1875,1.0,0.0,0.0
tabula_sapiens_stomach,43,0.01,scRareRefine,2.5124,0.6923,0.5625,0.9,0.00021,0.0
tabula_sapiens_stomach,43,0.05,scANVI,2.5124,0.6667,0.5312,0.8947,0.00021,0.0
tabula_sapiens_stomach,43,0.05,kNN,2.5124,0.3158,0.1875,1.0,0.0,0.0
tabula_sapiens_stomach,43,0.05,scRareRefine,2.5124,0.6923,0.5625,0.9,0.00021,0.0
tabula_sapiens_stomach,43,0.10,scANVI,2.5124,0.6667,0.5312,0.8947,0.00021,0.0
tabula_sapiens_stomach,43,0.10,kNN,2.5124,0.3158,0.1875,1.0,0.0,0.0
tabula_sapiens_stomach,43,0.10,scRareRefine,2.5124,0.6923,0.5625,0.9,0.00021,0.0
tabula_sapiens_stomach,43,all,scANVI,1.7546,0.6667,0.5,1.0,0.0,0.0
tabula_sapiens_stomach,43,all,kNN,1.7546,0.5116,0.3438,1.0,0.0,0.0
tabula_sapiens_stomach,43,all,scRareRefine,1.7546,0.72,0.5625,1.0,0.0,0.0
tabula_sapiens_stomach,44,0.01,scANVI,1.8939,0.6087,0.4375,1.0,0.0,0.0
tabula_sapiens_stomach,44,0.01,kNN,1.8939,0.3158,0.1875,1.0,0.0,0.0
tabula_sapiens_stomach,44,0.01,scRareRefine,1.8939,0.72,0.5625,1.0,0.0,0.0
tabula_sapiens_stomach,44,0.05,scANVI,1.8939,0.6087,0.4375,1.0,0.0,0.0
tabula_sapiens_stomach,44,0.05,kNN,1.8939,0.3158,0.1875,1.0,0.0,0.0
