run_dir,run_id,required_files_ok,manifest_exists,current_git_sha,manifest_dataset,manifest_dataset_path,manifest_split_mode,manifest_seed,manifest_rare_class,manifest_rare_train_size,manifest_split_hash,manifest_git_sha,manifest_n_train,manifest_n_val,manifest_n_test,cached_split_hash,split_hash_ok,git_status
outputs\pancreas_integrated\batch_heldout_seed44_endothelial_rareall,batch_heldout_seed44_endothelial_rareall,True,True,91746c9,pancreas_integrated,data/raw/human_pancreas/pancreas_integrated_clean.h5ad,batch_heldout,44,endothelial,all,2373a4f6ec6225a2,7a90a01,7936,1303,1724,2373a4f6ec6225a2,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare10pct,batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare10pct,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,42,endothelial cell of lymphatic vessel,0.1,da9ffbdf489ba7b0,67acaa3,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare1pct,batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare1pct,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,42,endothelial cell of lymphatic vessel,0.01,da9ffbdf489ba7b0,67acaa3,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare5pct,batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare5pct,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,42,endothelial cell of lymphatic vessel,0.05,da9ffbdf489ba7b0,67acaa3,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rareall,batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rareall,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,42,endothelial cell of lymphatic vessel,all,da9ffbdf489ba7b0,67acaa3,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare10pct,batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare10pct,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,43,endothelial cell of lymphatic vessel,0.1,da9ffbdf489ba7b0,7a90a01,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare1pct,batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare1pct,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,43,endothelial cell of lymphatic vessel,0.01,da9ffbdf489ba7b0,7a90a01,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare5pct,batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare5pct,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,43,endothelial cell of lymphatic vessel,0.05,da9ffbdf489ba7b0,7a90a01,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rareall,batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rareall,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,43,endothelial cell of lymphatic vessel,all,da9ffbdf489ba7b0,7a90a01,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare10pct,batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare10pct,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,44,endothelial cell of lymphatic vessel,0.1,da9ffbdf489ba7b0,7a90a01,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare1pct,batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare1pct,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,44,endothelial cell of lymphatic vessel,0.01,da9ffbdf489ba7b0,7a90a01,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare5pct,batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare5pct,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,44,endothelial cell of lymphatic vessel,0.05,da9ffbdf489ba7b0,7a90a01,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rareall,batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rareall,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,44,endothelial cell of lymphatic vessel,all,da9ffbdf489ba7b0,7a90a01,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_stroma\batch_heldout_seed42_bronchial_smooth_muscle_cell_rare10pct,batch_heldout_seed42_bronchial_smooth_muscle_cell_rare10pct,True,True,91746c9,tabula_lung_stroma,data/raw/tabula_lung_stroma/tabula_lung_stroma.h5ad,batch_heldout,42,bronchial smooth muscle cell,0.1,5bb46cf0a34be4ab,67acaa3,1736,309,238,5bb46cf0a34be4ab,True,different_commit
outputs\tabula_lung_stroma\batch_heldout_seed42_bronchial_smooth_muscle_cell_rare1pct,batch_heldout_seed42_bronchial_smooth_muscle_cell_rare1pct,True,True,91746c9,tabula_lung_stroma,data/raw/tabula_lung_stroma/tabula_lung_stroma.h5ad,batch_heldout,42,bronchial smooth muscle cell,0.01,5bb46cf0a34be4ab,67acaa3,1736,309,238,5bb46cf0a34be4ab,True,different_commit
outputs\tabula_lung_stroma\batch_heldout_seed42_bronchial_smooth_muscle_cell_rare5pct,batch_heldout_seed42_bronchial_smooth_muscle_cell_rare5pct,True,True,91746c9,tabula_lung_stroma,data/raw/tabula_lung_stroma/tabula_lung_stroma.h5ad,batch_heldout,42,bronchial smooth muscle cell,0.05,5bb46cf0a34be4ab,67acaa3,1736,309,238,5bb46cf0a34be4ab,True,different_commit
outputs\tabula_lung_stroma\batch_heldout_seed42_bronchial_smooth_muscle_cell_rareall,batch_heldout_seed42_bronchial_smooth_muscle_cell_rareall,True,True,91746c9,tabula_lung_stroma,data/raw/tabula_lung_stroma/tabula_lung_stroma.h5ad,batch_heldout,42,bronchial smooth muscle cell,all,5bb46cf0a34be4ab,67acaa3,1736,309,238,5bb46cf0a34be4ab,True,different_commit
outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rare10pct,batch_heldout_seed42_mast_cell_rare10pct,True,True,91746c9,tabula_sapiens_stomach,data/raw/tabula_sapiens_stomach/tabula_sapiens_stomach.h5ad,batch_heldout,42,mast cell,0.1,d796289a5b941ac3,unknown,14277,9212,9575,d796289a5b941ac3,True,legacy_unknown
outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rare1pct,batch_heldout_seed42_mast_cell_rare1pct,True,True,91746c9,tabula_sapiens_stomach,data/raw/tabula_sapiens_stomach/tabula_sapiens_stomach.h5ad,batch_heldout,42,mast cell,0.01,d796289a5b941ac3,unknown,14277,9212,9575,d796289a5b941ac3,True,legacy_unknown
outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rare5pct,batch_heldout_seed42_mast_cell_rare5pct,True,True,91746c9,tabula_sapiens_stomach,data/raw/tabula_sapiens_stomach/tabula_sapiens_stomach.h5ad,batch_heldout,42,mast cell,0.05,d796289a5b941ac3,unknown,14277,9212,9575,d796289a5b941ac3,True,legacy_unknown
outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rareall,batch_heldout_seed42_mast_cell_rareall,True,True,91746c9,tabula_sapiens_stomach,data/raw/tabula_sapiens_stomach/tabula_sapiens_stomach.h5ad,batch_heldout,42,mast cell,all,d796289a5b941ac3,unknown,14277,9212,9575,d796289a5b941ac3,True,legacy_unknown
outputs\tabula_sapiens_stomach\batch_heldout_seed43_mast_cell_rare10pct,batch_heldout_seed43_mast_cell_rare10pct,True,True,91746c9,tabula_sapiens_stomach,data/raw/tabula_sapiens_stomach/tabula_sapiens_stomach.h5ad,batch_heldout,43,mast cell,0.1,d796289a5b941ac3,7a90a01,14277,9212,9575,d796289a5b941ac3,True,different_commit
outputs\tabula_sapiens_stomach\batch_heldout_seed43_mast_cell_rare1pct,batch_heldout_seed43_mast_cell_rare1pct,True,True,91746c9,tabula_sapiens_stomach,data/raw/tabula_sapiens_stomach/tabula_sapiens_stomach.h5ad,batch_heldout,43,mast cell,0.01,d796289a5b941ac3,7a90a01,14277,9212,9575,d796289a5b941ac3,True,different_commit
outputs\tabula_sapiens_stomach\batch_heldout_seed43_mast_cell_rare5pct,batch_heldout_seed43_mast_cell_rare5pct,True,True,91746c9,tabula_sapiens_stomach,data/raw/tabula_sapiens_stomach/tabula_sapiens_stomach.h5ad,batch_heldout,43,mast cell,0.05,d796289a5b941ac3,7a90a01,14277,9212,9575,d796289a5b941ac3,True,different_commit
outputs\tabula_sapiens_stomach\batch_heldout_seed43_mast_cell_rareall,batch_heldout_seed43_mast_cell_rareall,True,True,91746c9,tabula_sapiens_stomach,data/raw/tabula_sapiens_stomach/tabula_sapiens_stomach.h5ad,batch_heldout,43,mast cell,all,d796289a5b941ac3,7a90a01,14277,9212,9575,d796289a5b941ac3,True,different_commit
outputs\tabula_sapiens_stomach\batch_heldout_seed44_mast_cell_rare10pct,batch_heldout_seed44_mast_cell_rare10pct,True,True,91746c9,tabula_sapiens_stomach,data/raw/tabula_sapiens_stomach/tabula_sapiens_stomach.h5ad,batch_heldout,44,mast cell,0.1,d796289a5b941ac3,7a90a01,14277,9212,9575,d796289a5b941ac3,True,different_commit
outputs\tabula_sapiens_stomach\batch_heldout_seed44_mast_cell_rare1pct,batch_heldout_seed44_mast_cell_rare1pct,True,True,91746c9,tabula_sapiens_stomach,data/raw/tabula_sapiens_stomach/tabula_sapiens_stomach.h5ad,batch_heldout,44,mast cell,0.01,d796289a5b941ac3,7a90a01,14277,9212,9575,d796289a5b941ac3,True,different_commit
outputs\tabula_sapiens_stomach\batch_heldout_seed44_mast_cell_rare5pct,batch_heldout_seed44_mast_cell_rare5pct,True,True,91746c9,tabula_sapiens_stomach,data/raw/tabula_sapiens_stomach/tabula_sapiens_stomach.h5ad,batch_heldout,44,mast cell,0.05,d796289a5b941ac3,7a90a01,14277,9212,9575,d796289a5b941ac3,True,different_commit
outputs\tabula_sapiens_stomach\batch_heldout_seed44_mast_cell_rareall,batch_heldout_seed44_mast_cell_rareall,True,True,91746c9,tabula_sapiens_stomach,data/raw/tabula_sapiens_stomach/tabula_sapiens_stomach.h5ad,batch_heldout,44,mast cell,all,d796289a5b941ac3,7a90a01,14277,9212,9575,d796289a5b941ac3,True,different_commit
outputs\tabula_small_intestine\batch_heldout_seed42_intestinal_tuft_cell_rare10pct,batch_heldout_seed42_intestinal_tuft_cell_rare10pct,True,True,91746c9,tabula_small_intestine,data/raw/tabula_sapiens_small_intestine/tabula_si_10x.h5ad,batch_heldout,42,intestinal tuft cell,0.1,2d3d2e6d369f4cb5,67acaa3,24282,9715,6353,2d3d2e6d369f4cb5,True,different_commit
outputs\tabula_small_intestine\batch_heldout_seed42_intestinal_tuft_cell_rare1pct,batch_heldout_seed42_intestinal_tuft_cell_rare1pct,True,True,91746c9,tabula_small_intestine,data/raw/tabula_sapiens_small_intestine/tabula_si_10x.h5ad,batch_heldout,42,intestinal tuft cell,0.01,2d3d2e6d369f4cb5,67acaa3,24282,9715,6353,2d3d2e6d369f4cb5,True,different_commit
