dataset,seed,rare_train_size,rare_class,delta_f1_batch_heldout,delta_f1_cell_stratified,n_false_rescue_batch_heldout,n_false_rescue_cell_stratified,n_rescued_batch_heldout,n_rescued_cell_stratified,rare_test_batch_heldout,rare_test_cell_stratified,rare_train_batch_heldout,rare_train_cell_stratified,rare_val_batch_heldout,rare_val_cell_stratified,rescue_ffr_batch_heldout,rescue_ffr_cell_stratified,scANVI_f1_batch_heldout,scANVI_f1_cell_stratified,scANVI_recall_batch_heldout,scANVI_recall_cell_stratified,scRareRefine_f1_batch_heldout,scRareRefine_f1_cell_stratified,scRareRefine_recall_batch_heldout,scRareRefine_recall_cell_stratified,test_pct_batch_heldout,test_pct_cell_stratified,train_pct_batch_heldout,train_pct_cell_stratified,val_pct_batch_heldout,val_pct_cell_stratified
tabula_lung_endo,42,0.05,endothelial cell of lymphatic vessel,0.29629629629629617,0.24928496161372882,4.0,0.0,36.0,18.0,65.0,46.0,208.0,215.0,34.0,46.0,0.0023310023310023,0.0,0.6666666666666666,0.7397260273972602,0.5076923076923077,0.5869565217391305,0.9629629629629628,0.989010989010989,1.0,0.9782608695652174,0.17577970785629687,0.15001973943939992,0.7366758784050533,0.6999605211212001,0.08754441373864982,0.15001973943939992
tabula_lung_endo,42,0.10,endothelial cell of lymphatic vessel,0.00034437238133522285,0.0,1.0,0.0,2.0,0.0,65.0,46.0,208.0,215.0,34.0,46.0,0.0005827505827505,0.0,0.9770992366412212,0.989010989010989,0.9846153846153848,0.9782608695652174,0.9774436090225564,0.989010989010989,1.0,0.9782608695652174,0.17577970785629687,0.15001973943939992,0.7366758784050533,0.6999605211212001,0.08754441373864982,0.15001973943939992
tabula_lung_endo,42,all,endothelial cell of lymphatic vessel,-0.01448064605959365,0.0,2.0,0.0,2.0,0.0,65.0,46.0,208.0,215.0,34.0,46.0,0.0011655011655011,0.0,0.9774436090225564,1.0,1.0,1.0,0.9629629629629628,1.0,1.0,1.0,0.17577970785629687,0.15001973943939992,0.7366758784050533,0.6999605211212001,0.08754441373864982,0.15001973943939992
tabula_sapiens_stomach,42,0.01,mast cell,0.09284332688588015,0.0,0.0,0.0,3.0,0.0,32.0,146.0,52.0,677.0,884.0,145.0,0.0,0.0,0.5454545454545454,0.9861111111111112,0.375,0.9726027397260274,0.6382978723404256,0.9861111111111112,0.46875,0.9726027397260274,0.28958988628115173,0.15001209774981852,0.43179893539801595,0.6999758045003629,0.2786111783208323,0.15001209774981852
tabula_sapiens_stomach,42,0.05,mast cell,0.09284332688588015,0.0,0.0,0.0,3.0,0.0,32.0,146.0,52.0,677.0,884.0,145.0,0.0,0.0,0.5454545454545454,0.9861111111111112,0.375,0.9726027397260274,0.6382978723404256,0.9861111111111112,0.46875,0.9726027397260274,0.28958988628115173,0.15001209774981852,0.43179893539801595,0.6999758045003629,0.2786111783208323,0.15001209774981852
tabula_sapiens_stomach,42,0.10,mast cell,0.09284332688588015,0.0,0.0,0.0,3.0,0.0,32.0,146.0,52.0,677.0,884.0,145.0,0.0,0.0,0.5454545454545454,0.9861111111111112,0.375,0.9726027397260274,0.6382978723404256,0.9861111111111112,0.46875,0.9726027397260274,0.28958988628115173,0.15001209774981852,0.43179893539801595,0.6999758045003629,0.2786111783208323,0.15001209774981852
tabula_sapiens_stomach,42,all,mast cell,0.20869565217391306,0.0,0.0,0.0,6.0,0.0,32.0,146.0,52.0,677.0,884.0,145.0,0.0,0.0,0.4,0.9861111111111112,0.25,0.9726027397260274,0.6086956521739131,0.9861111111111112,0.4375,0.9726027397260274,0.28958988628115173,0.15001209774981852,0.43179893539801595,0.6999758045003629,0.2786111783208323,0.15001209774981852
tabula_small_intestine,42,0.01,intestinal tuft cell,-0.00729435529121325,0.0,1.0,0.0,1.0,0.0,65.0,66.0,315.0,304.0,55.0,65.0,0.0001590330788804,0.0,0.9774436090225564,1.0,1.0,1.0,0.9701492537313432,1.0,1.0,1.0,0.15744733581164808,0.15001239157372986,0.6017843866171003,0.7,0.24076827757125155,0.14998760842627012
tabula_small_intestine,42,0.05,intestinal tuft cell,-0.00729435529121325,0.0,1.0,0.0,1.0,0.0,65.0,66.0,315.0,304.0,55.0,65.0,0.0001590330788804,0.0,0.9774436090225564,1.0,1.0,1.0,0.9701492537313432,1.0,1.0,1.0,0.15744733581164808,0.15001239157372986,0.6017843866171003,0.7,0.24076827757125155,0.14998760842627012
tabula_small_intestine,42,0.10,intestinal tuft cell,-0.014699231117141554,0.0,2.0,0.0,2.0,0.0,65.0,66.0,315.0,304.0,55.0,65.0,0.0003180661577608,0.0,0.9848484848484848,0.9923664122137404,1.0,0.9848484848484848,0.9701492537313432,0.9923664122137404,1.0,0.9848484848484848,0.15744733581164808,0.15001239157372986,0.6017843866171003,0.7,0.24076827757125155,0.14998760842627012
tabula_small_intestine,42,all,intestinal tuft cell,0.0,0.0,0.0,0.0,0.0,0.0,65.0,66.0,315.0,304.0,55.0,65.0,0.0,0.0,0.9701492537313432,0.9923664122137404,1.0,0.9848484848484848,0.9701492537313432,0.9923664122137404,1.0,0.9848484848484848,0.15744733581164808,0.15001239157372986,0.6017843866171003,0.7,0.24076827757125155,0.14998760842627012
