dataset,split_mode,seed,rare_train_size,rare_class,status,n_train,n_val,n_test,train_pct,val_pct,test_pct,rare_train,rare_val,rare_test,split_hash,git_sha,scANVI_f1,scANVI_recall,scANVI_precision,scRareRefine_f1,scRareRefine_recall,scRareRefine_precision,delta_f1,delta_recall,rescue_ffr,n_rescued,n_false_rescue,abstained,sep
pancreas_integrated,cell_stratified,42,0.01,endothelial,ok,7674,1644,1645,0.6999908784091946,0.14995895284137553,0.1500501687494299,191,41,41,76ad82400bbd1740,91746c9,0.935064935064935,0.8780487804878049,1.0,0.9629629629629628,0.951219512195122,0.975,0.027898027898027755,0.07317073170731714,0.0006234413965087,4,1,False,
pancreas_integrated,cell_stratified,42,0.05,endothelial,ok,7674,1644,1645,0.6999908784091946,0.14995895284137553,0.1500501687494299,191,41,41,76ad82400bbd1740,91746c9,0.935064935064935,0.8780487804878049,1.0,0.926829268292683,0.926829268292683,0.926829268292683,-0.00823566677225207,0.04878048780487809,0.0018703241895261,5,3,False,
pancreas_integrated,cell_stratified,42,0.10,endothelial,ok,7674,1644,1645,0.6999908784091946,0.14995895284137553,0.1500501687494299,191,41,41,76ad82400bbd1740,91746c9,0.9620253164556962,0.926829268292683,1.0,0.9620253164556962,0.926829268292683,1.0,0.0,0.0,0.0,0,0,True,
pancreas_integrated,cell_stratified,42,all,endothelial,ok,7674,1644,1645,0.6999908784091946,0.14995895284137553,0.1500501687494299,191,41,41,76ad82400bbd1740,91746c9,0.95,0.926829268292683,0.9743589743589745,0.95,0.926829268292683,0.9743589743589745,0.0,0.0,0.0,0,0,True,
tabula_lung_endo,batch_heldout,42,0.01,endothelial cell of lymphatic vessel,ok,7464,887,1781,0.7366758784050533,0.08754441373864982,0.17577970785629687,208,34,65,da9ffbdf489ba7b0,67acaa3,0.0,0.0,0.0,0.9848484848484848,1.0,0.9701492537313432,0.9848484848484848,1.0,0.0011655011655011,67,2,False,
tabula_lung_endo,batch_heldout,42,0.05,endothelial cell of lymphatic vessel,ok,7464,887,1781,0.7366758784050533,0.08754441373864982,0.17577970785629687,208,34,65,da9ffbdf489ba7b0,67acaa3,0.6666666666666666,0.5076923076923077,0.9705882352941176,0.9629629629629628,1.0,0.9285714285714286,0.29629629629629617,0.49230769230769234,0.0023310023310023,36,4,False,
tabula_lung_endo,batch_heldout,42,0.10,endothelial cell of lymphatic vessel,ok,7464,887,1781,0.7366758784050533,0.08754441373864982,0.17577970785629687,208,34,65,da9ffbdf489ba7b0,67acaa3,0.9770992366412212,0.9846153846153848,0.9696969696969696,0.9774436090225564,1.0,0.9558823529411764,0.00034437238133522285,0.015384615384615219,0.0005827505827505,2,1,False,
tabula_lung_endo,batch_heldout,42,all,endothelial cell of lymphatic vessel,ok,7464,887,1781,0.7366758784050533,0.08754441373864982,0.17577970785629687,208,34,65,da9ffbdf489ba7b0,67acaa3,0.9774436090225564,1.0,0.9558823529411764,0.9629629629629628,1.0,0.9285714285714286,-0.01448064605959365,0.0,0.0011655011655011,2,2,False,
tabula_lung_endo,cell_stratified,42,0.01,endothelial cell of lymphatic vessel,ok,7092,1520,1520,0.6999605211212001,0.15001973943939992,0.15001973943939992,215,46,46,f530d6d6a2a8cbfc,91746c9,0.0425531914893617,0.0217391304347826,1.0,0.989010989010989,0.9782608695652174,1.0,0.9464577975216274,0.9565217391304348,0.0,44,0,False,
tabula_lung_endo,cell_stratified,42,0.05,endothelial cell of lymphatic vessel,ok,7092,1520,1520,0.6999605211212001,0.15001973943939992,0.15001973943939992,215,46,46,f530d6d6a2a8cbfc,91746c9,0.7397260273972602,0.5869565217391305,1.0,0.989010989010989,0.9782608695652174,1.0,0.24928496161372882,0.3913043478260869,0.0,18,0,False,
