dataset,seed,rare_train_size,rare_class,split_mode,run_dir,variant,variant_group,status,error_reason,separability,alpha,split_hash,actual_training_labeled_rare_count,labeled_rare_id_sha256,effective_budget_key,rare_f1,rare_recall,rare_precision,true_rescues,false_rescues,all_rescues,rescue_precision,incremental_fpr,rescue_ffr,alpha_violation,abstain,abstain_reason,chosen_rank,tau,val_missed,n_candidate
immune_dc,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,baseline,component,success,,2.1041139056895917,0.01,33b8ce5bdff2e437,27,dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",27,""dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e""]",0.8803418803418803,0.7923076923076923,0.9903846153846154,0,0,0,,0.0,0.0,False,False,baseline_no_rescue,0,,24,0
immune_dc,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,minus_separability_gate,component,success,,2.1041139056895917,0.01,33b8ce5bdff2e437,27,dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",27,""dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e""]",0.9274193548387096,0.8846153846153846,0.9745762711864406,12,2,14,0.8571428571428571,0.00033311125916055963,0.00033311125916055963,False,False,rescue_applied,1,0.13499912823538188,24,14
immune_dc,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,minus_necessity_gate,component,success,,2.1041139056895917,0.01,33b8ce5bdff2e437,27,dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",27,""dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e""]",0.9274193548387096,0.8846153846153846,0.9745762711864406,12,2,14,0.8571428571428571,0.00033311125916055963,0.00033311125916055963,False,False,rescue_applied,1,0.13499912823538188,24,14
immune_dc,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,fixed_rank_1,component,success,,2.1041139056895917,0.01,33b8ce5bdff2e437,27,dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",27,""dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e""]",0.9274193548387096,0.8846153846153846,0.9745762711864406,12,2,14,0.8571428571428571,0.00033311125916055963,0.00033311125916055963,False,False,rescue_applied,1,0.13499912823538188,24,14
immune_dc,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,minus_conformal_tau,component,success,,2.1041139056895917,0.01,33b8ce5bdff2e437,27,dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",27,""dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e""]",0.9274193548387096,0.8846153846153846,0.9745762711864406,12,2,14,0.8571428571428571,0.00033311125916055963,0.00033311125916055963,False,False,rescue_applied,1,-inf,24,14
immune_dc,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,full_method,component,success,,2.1041139056895917,0.01,33b8ce5bdff2e437,27,dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",27,""dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e""]",0.9274193548387096,0.8846153846153846,0.9745762711864406,12,2,14,0.8571428571428571,0.00033311125916055963,0.00033311125916055963,False,False,rescue_applied,1,0.13499912823538188,24,14
immune_dc,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,rank_1,rank,success,,2.1041139056895917,0.01,33b8ce5bdff2e437,27,dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",27,""dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e""]",0.9274193548387096,0.8846153846153846,0.9745762711864406,12,2,14,0.8571428571428571,0.00033311125916055963,0.00033311125916055963,False,False,rescue_applied,1,0.13499912823538188,24,14
immune_dc,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,rank_2,rank,success,,2.1041139056895917,0.01,33b8ce5bdff2e437,27,dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",27,""dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e""]",0.8382838283828383,0.9769230769230769,0.7341040462427746,24,45,69,0.34782608695652173,0.007495003331112591,0.007495003331112591,False,False,rescue_applied,2,0.13499912823538188,24,559
immune_dc,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,rank_3,rank,success,,2.1041139056895917,0.01,33b8ce5bdff2e437,27,dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",27,""dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e""]",0.8167202572347267,0.9769230769230769,0.7016574585635359,24,53,77,0.3116883116883117,0.00882744836775483,0.00882744836775483,False,False,rescue_applied,3,0.13499912823538188,24,879
immune_dc,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,adaptive_rank,rank,success,,2.1041139056895917,0.01,33b8ce5bdff2e437,27,dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",27,""dbca1156455e99557cf7c64be125b41ada48c464a3d6a0a96fa690300eb68e2e""]",0.9274193548387096,0.8846153846153846,0.9745762711864406,12,2,14,0.8571428571428571,0.00033311125916055963,0.00033311125916055963,False,False,rescue_applied,1,0.13499912823538188,24,14
