dataset,rare_class,actual_training_labeled_rare_count,variant,variant_group,n_seeds,rare_f1_mean,rare_f1_std,rare_f1_min,rare_f1_max,rare_f1_n_defined,rare_recall_mean,rare_recall_std,rare_recall_min,rare_recall_max,rare_recall_n_defined,rescue_precision_mean,rescue_precision_std,rescue_precision_min,rescue_precision_max,rescue_precision_n_defined,incremental_fpr_mean,incremental_fpr_std,incremental_fpr_min,incremental_fpr_max,incremental_fpr_n_defined,abstention_rate,alpha_violation_rate,n_alpha_violations
pancreas_baron,gamma,5,rank_1,rank,3,0.526179151339066,0.24380608905928156,0.24489795918367346,0.676923076923077,3,0.3875968992248062,0.21482800714032588,0.13953488372093023,0.5116279069767442,3,0.8918918918918919,,0.8918918918918919,0.8918918918918919,1,0.000814000814000814,0.0014098907672518333,0.0,0.002442002442002442,3,0.6666666666666666,0.0,0
pancreas_baron,gamma,5,rank_2,rank,3,0.5667547166264019,0.2833203287872849,0.24489795918367346,0.7784431137724551,3,0.4689922480620155,0.3103438778462944,0.13953488372093023,0.7558139534883721,3,0.7714285714285715,,0.7714285714285715,0.7714285714285715,1,0.003256003256003256,0.005639563069007333,0.0,0.009768009768009768,3,0.6666666666666666,0.0,0
pancreas_baron,gamma,5,rank_3,rank,3,0.5182441428372713,0.23774536626823686,0.24489795918367346,0.676923076923077,3,0.5077519379844961,0.366294450273853,0.13953488372093023,0.872093023255814,3,0.45714285714285713,,0.45714285714285713,0.45714285714285713,1,0.015466015466015467,0.026787924577784835,0.0,0.0463980463980464,3,0.6666666666666666,0.3333333333333333,1
pancreas_baron,gamma,5,adaptive_rank,rank,3,0.5667547166264019,0.2833203287872849,0.24489795918367346,0.7784431137724551,3,0.4689922480620155,0.3103438778462944,0.13953488372093023,0.7558139534883721,3,0.7714285714285715,,0.7714285714285715,0.7714285714285715,1,0.003256003256003256,0.005639563069007333,0.0,0.009768009768009768,3,0.6666666666666666,0.0,0
pancreas_baron,gamma,10,baseline,component,3,0.8199961948249618,0.05871094386298706,0.7808219178082192,0.8875,3,0.7170542635658914,0.0939872531238926,0.6627906976744186,0.8255813953488372,3,,,,,0,0.0,0.0,0.0,0.0,3,0.0,0.0,0
pancreas_baron,gamma,10,minus_separability_gate,component,3,0.8388121307695524,0.032829140177044316,0.8157894736842105,0.8764044943820225,3,0.8062015503875969,0.09398725312389257,0.7209302325581395,0.9069767441860465,3,0.5309454191033138,0.12516091463095794,0.3888888888888889,0.625,3,0.004477004477004477,0.0024673088426907085,0.0018315018315018315,0.006715506715506716,3,0.0,0.0,0
pancreas_baron,gamma,10,minus_necessity_gate,component,3,0.8425106326422117,0.03919050235357322,0.8157894736842105,0.8875,3,0.7790697674418605,0.053285763894835386,0.7209302325581395,0.8255813953488372,3,0.6019736842105263,0.03256412808095941,0.5789473684210527,0.625,2,0.0022385022385022386,0.0024673088426907085,0.0,0.004884004884004884,3,0.3333333333333333,0.0,0
pancreas_baron,gamma,10,fixed_rank_1,component,3,0.8425106326422117,0.03919050235357322,0.8157894736842105,0.8875,3,0.7790697674418605,0.053285763894835386,0.7209302325581395,0.8255813953488372,3,0.6019736842105263,0.03256412808095941,0.5789473684210527,0.625,2,0.0022385022385022386,0.0024673088426907085,0.0,0.004884004884004884,3,0.3333333333333333,0.0,0
pancreas_baron,gamma,10,minus_conformal_tau,component,3,0.8280371304974766,0.054383426961628116,0.7808219178082192,0.8875,3,0.7364341085271318,0.08249533586741384,0.6627906976744186,0.8255813953488372,3,0.625,,0.625,0.625,1,0.0006105006105006105,0.001057418075438875,0.0,0.0018315018315018315,3,0.6666666666666666,0.0,0
pancreas_baron,gamma,10,full_method,component,3,0.8425106326422117,0.03919050235357322,0.8157894736842105,0.8875,3,0.7790697674418605,0.053285763894835386,0.7209302325581395,0.8255813953488372,3,0.6019736842105263,0.03256412808095941,0.5789473684210527,0.625,2,0.0022385022385022386,0.0024673088426907085,0.0,0.004884004884004884,3,0.3333333333333333,0.0,0
pancreas_baron,gamma,10,rank_1,rank,3,0.8425106326422117,0.03919050235357322,0.8157894736842105,0.8875,3,0.7790697674418605,0.053285763894835386,0.7209302325581395,0.8255813953488372,3,0.6019736842105263,0.03256412808095941,0.5789473684210527,0.625,2,0.0022385022385022386,0.0024673088426907085,0.0,0.004884004884004884,3,0.3333333333333333,0.0,0
pancreas_baron,gamma,10,rank_2,rank,3,0.8465004640909619,0.03825421384739099,0.8117647058823529,0.8875,3,0.8178294573643411,0.013426750446270392,0.8023255813953488,0.8255813953488372,3,0.53,0.04242640687119289,0.5,0.56,2,0.004680504680504681,0.004064913381245051,0.0,0.007326007326007326,3,0.3333333333333333,0.0,0
pancreas_baron,gamma,10,rank_3,rank,3,0.8401057791537667,0.04130648276181971,0.8117647058823529,0.8875,3,0.8449612403100776,0.054951344491309374,0.8023255813953488,0.9069767441860465,3,0.4782608695652174,0.030743773095067303,0.45652173913043476,0.5,2,0.007529507529507529,0.00763329236203136,0.0,0.015262515262515262,3,0.3333333333333333,0.3333333333333333,1
pancreas_baron,gamma,10,adaptive_rank,rank,3,0.8425106326422117,0.03919050235357322,0.8157894736842105,0.8875,3,0.7790697674418605,0.053285763894835386,0.7209302325581395,0.8255813953488372,3,0.6019736842105263,0.03256412808095941,0.5789473684210527,0.625,2,0.0022385022385022386,0.0024673088426907085,0.0,0.004884004884004884,3,0.3333333333333333,0.0,0
pancreas_baron,gamma,106,baseline,component,3,0.9111370332927219,0.012884843339509207,0.896969696969697,0.9221556886227545,3,0.8953488372093025,0.034883720930232565,0.8604651162790697,0.9302325581395349,3,,,,,0,0.0,0.0,0.0,0.0,3,0.0,0.0,0
pancreas_baron,gamma,106,minus_separability_gate,component,3,0.9067414288971175,0.01350785452439451,0.896969696969697,0.9221556886227545,3,0.9031007751937986,0.046993626561946306,0.8604651162790697,0.9534883720930233,3,0.2857142857142857,,0.2857142857142857,0.2857142857142857,1,0.0010175010175010174,0.0017623634590647917,0.0,0.0030525030525030525,3,0.6666666666666666,0.0,0
pancreas_baron,gamma,106,minus_necessity_gate,component,3,0.9111370332927219,0.012884843339509207,0.896969696969697,0.9221556886227545,3,0.8953488372093025,0.034883720930232565,0.8604651162790697,0.9302325581395349,3,,,,,0,0.0,0.0,0.0,0.0,3,1.0,0.0,0
pancreas_baron,gamma,106,fixed_rank_1,component,3,0.9111370332927219,0.012884843339509207,0.896969696969697,0.9221556886227545,3,0.8953488372093025,0.034883720930232565,0.8604651162790697,0.9302325581395349,3,,,,,0,0.0,0.0,0.0,0.0,3,1.0,0.0,0
