dataset,rare_class,seed,split_hash,actual_training_labeled_rare_count,labeled_rare_id_sha256,n_folded_nominal_budgets,folded_nominal_budgets,source_run_dirs,all_training_cells,total_labeled_training_cells,train_rare_pool,validation_rare,test_rare,all_split_rare,total_rare_supervision,training_rare_label_fraction,training_rare_share_of_all_split_rare,total_supervised_rare_share_of_all_split_rare,training_rare_label_share_of_training_cells
pancreas_integrated,endothelial,42,2373a4f6ec6225a2,5,03277edf821b344e8b2f0ef53c88affce67c77df8a090c9ac5294c31c4f18080,1,"[""0.01""]","[""outputs\\pancreas_integrated\\batch_heldout_seed42_endothelial_rare1pct""]",7936,7698,243,7,23,273,12,0.0205761316872428,0.018315018315018316,0.04395604395604396,0.0006300403225806451
pancreas_integrated,endothelial,42,2373a4f6ec6225a2,12,c3df48297ac9ad0cff1f1b7e7d96ffc01c33f538d4e1b1bd3596760bf47850a4,1,"[""0.05""]","[""outputs\\pancreas_integrated\\batch_heldout_seed42_endothelial_rare5pct""]",7936,7705,243,7,23,273,19,0.04938271604938271,0.04395604395604396,0.0695970695970696,0.0015120967741935483
pancreas_integrated,endothelial,42,2373a4f6ec6225a2,24,d1150c292e94762d2befd3c7c94696984ce7dc619fbf498dd3ae0c74b32a566b,1,"[""0.10""]","[""outputs\\pancreas_integrated\\batch_heldout_seed42_endothelial_rare10pct""]",7936,7717,243,7,23,273,31,0.09876543209876543,0.08791208791208792,0.11355311355311355,0.0030241935483870967
pancreas_integrated,endothelial,42,2373a4f6ec6225a2,243,45a4996b89897c8894ebde5e1d7d238ccdccd5c9ab39f7f7d514dd495b1cc3b8,1,"[""all""]","[""outputs\\pancreas_integrated\\batch_heldout_seed42_endothelial_rareall""]",7936,7936,243,7,23,273,250,1.0,0.8901098901098901,0.9157509157509157,0.030619959677419355
pancreas_integrated,endothelial,43,2373a4f6ec6225a2,5,9a03e5aff3d10f4f6336e98732ba34a9ace481ed3ad1159c938c4a1132b05be6,1,"[""0.01""]","[""outputs\\pancreas_integrated\\batch_heldout_seed43_endothelial_rare1pct""]",7936,7698,243,7,23,273,12,0.0205761316872428,0.018315018315018316,0.04395604395604396,0.0006300403225806451
pancreas_integrated,endothelial,43,2373a4f6ec6225a2,12,8de3b551ba3e91401fb92abced14cee7f47afd3603fe84841be80fd3f4f340a6,1,"[""0.05""]","[""outputs\\pancreas_integrated\\batch_heldout_seed43_endothelial_rare5pct""]",7936,7705,243,7,23,273,19,0.04938271604938271,0.04395604395604396,0.0695970695970696,0.0015120967741935483
pancreas_integrated,endothelial,43,2373a4f6ec6225a2,24,8623132c05cdb9f8444dc4147fa5f981585d45843359abe89382fcc9231b40b8,1,"[""0.10""]","[""outputs\\pancreas_integrated\\batch_heldout_seed43_endothelial_rare10pct""]",7936,7717,243,7,23,273,31,0.09876543209876543,0.08791208791208792,0.11355311355311355,0.0030241935483870967
pancreas_integrated,endothelial,43,2373a4f6ec6225a2,243,45a4996b89897c8894ebde5e1d7d238ccdccd5c9ab39f7f7d514dd495b1cc3b8,1,"[""all""]","[""outputs\\pancreas_integrated\\batch_heldout_seed43_endothelial_rareall""]",7936,7936,243,7,23,273,250,1.0,0.8901098901098901,0.9157509157509157,0.030619959677419355
pancreas_integrated,endothelial,44,2373a4f6ec6225a2,5,5a096829621975cb4e5f80d445af601df0463bdc488c46ef3fe7c9e15d792b4a,1,"[""0.01""]","[""outputs\\pancreas_integrated\\batch_heldout_seed44_endothelial_rare1pct""]",7936,7698,243,7,23,273,12,0.0205761316872428,0.018315018315018316,0.04395604395604396,0.0006300403225806451
pancreas_integrated,endothelial,44,2373a4f6ec6225a2,12,00d3e6540e6ea3aa0be396c712ffab70e5b346b80054bf1151a23669a0d6609b,1,"[""0.05""]","[""outputs\\pancreas_integrated\\batch_heldout_seed44_endothelial_rare5pct""]",7936,7705,243,7,23,273,19,0.04938271604938271,0.04395604395604396,0.0695970695970696,0.0015120967741935483
pancreas_integrated,endothelial,44,2373a4f6ec6225a2,24,9749e0aede85c354c2c1910e60f2ca93cd579894f18cecc5bcb9af574f15a62c,1,"[""0.10""]","[""outputs\\pancreas_integrated\\batch_heldout_seed44_endothelial_rare10pct""]",7936,7717,243,7,23,273,31,0.09876543209876543,0.08791208791208792,0.11355311355311355,0.0030241935483870967
pancreas_integrated,endothelial,44,2373a4f6ec6225a2,243,45a4996b89897c8894ebde5e1d7d238ccdccd5c9ab39f7f7d514dd495b1cc3b8,1,"[""all""]","[""outputs\\pancreas_integrated\\batch_heldout_seed44_endothelial_rareall""]",7936,7936,243,7,23,273,250,1.0,0.8901098901098901,0.9157509157509157,0.030619959677419355
tabula_lung_endo,endothelial cell of lymphatic vessel,42,da9ffbdf489ba7b0,5,87ea0921df73a49a8754e5e8e2dbde0834cf146418192ede2c5d950e8bd65c55,1,"[""0.01""]","[""outputs\\tabula_lung_endo\\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare1pct""]",7464,7261,208,34,65,307,39,0.02403846153846154,0.016286644951140065,0.1270358306188925,0.0006698821007502679
tabula_lung_endo,endothelial cell of lymphatic vessel,42,da9ffbdf489ba7b0,10,dcd1961ab19527e4de74453b2c9bed36ce38cba107d5be40500d44ebf31874d4,1,"[""0.05""]","[""outputs\\tabula_lung_endo\\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare5pct""]",7464,7266,208,34,65,307,44,0.04807692307692308,0.03257328990228013,0.14332247557003258,0.0013397642015005359
tabula_lung_endo,endothelial cell of lymphatic vessel,42,da9ffbdf489ba7b0,20,6cc7ceded812b125937e6c43d4c69071f47c5882aed10420273a0bb42f94be89,1,"[""0.10""]","[""outputs\\tabula_lung_endo\\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare10pct""]",7464,7276,208,34,65,307,54,0.09615384615384616,0.06514657980456026,0.1758957654723127,0.0026795284030010718
tabula_lung_endo,endothelial cell of lymphatic vessel,42,da9ffbdf489ba7b0,208,786544698553a7ca24d9c7e4437507154a7b522fde8ec7c87ddacf4bbab437a4,1,"[""all""]","[""outputs\\tabula_lung_endo\\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rareall""]",7464,7464,208,34,65,307,242,1.0,0.6775244299674267,0.7882736156351792,0.027867095391211148
tabula_lung_endo,endothelial cell of lymphatic vessel,43,da9ffbdf489ba7b0,5,072bd4a6a89e4b92a0d461928e295963507e42a006f785679b531c97a6c941e6,1,"[""0.01""]","[""outputs\\tabula_lung_endo\\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare1pct""]",7464,7261,208,34,65,307,39,0.02403846153846154,0.016286644951140065,0.1270358306188925,0.0006698821007502679
