dataset,rare_class,actual_training_labeled_rare_count,seed,n_identity_runs,split_hashes,identity_hashes,folded_nominal_budgets,all_training_cells,total_labeled_training_cells,train_rare_pool,validation_rare,test_rare,all_split_rare,total_rare_supervision,training_rare_label_fraction,training_rare_share_of_all_split_rare,total_supervised_rare_share_of_all_split_rare,training_rare_label_share_of_training_cells
pancreas_integrated,endothelial,243,44,1,"[""2373a4f6ec6225a2""]","[""45a4996b89897c8894ebde5e1d7d238ccdccd5c9ab39f7f7d514dd495b1cc3b8""]","[""all""]",7936.0,7936.0,243.0,7.0,23.0,273.0,250.0,1.0,0.8901098901098901,0.9157509157509157,0.030619959677419355
tabula_lung_endo,endothelial cell of lymphatic vessel,5,42,1,"[""da9ffbdf489ba7b0""]","[""87ea0921df73a49a8754e5e8e2dbde0834cf146418192ede2c5d950e8bd65c55""]","[""0.01""]",7464.0,7261.0,208.0,34.0,65.0,307.0,39.0,0.02403846153846154,0.016286644951140065,0.1270358306188925,0.0006698821007502679
tabula_lung_endo,endothelial cell of lymphatic vessel,10,42,1,"[""da9ffbdf489ba7b0""]","[""dcd1961ab19527e4de74453b2c9bed36ce38cba107d5be40500d44ebf31874d4""]","[""0.05""]",7464.0,7266.0,208.0,34.0,65.0,307.0,44.0,0.04807692307692308,0.03257328990228013,0.14332247557003258,0.0013397642015005359
tabula_lung_endo,endothelial cell of lymphatic vessel,20,42,1,"[""da9ffbdf489ba7b0""]","[""6cc7ceded812b125937e6c43d4c69071f47c5882aed10420273a0bb42f94be89""]","[""0.10""]",7464.0,7276.0,208.0,34.0,65.0,307.0,54.0,0.09615384615384616,0.06514657980456026,0.1758957654723127,0.0026795284030010718
tabula_lung_endo,endothelial cell of lymphatic vessel,208,42,1,"[""da9ffbdf489ba7b0""]","[""786544698553a7ca24d9c7e4437507154a7b522fde8ec7c87ddacf4bbab437a4""]","[""all""]",7464.0,7464.0,208.0,34.0,65.0,307.0,242.0,1.0,0.6775244299674267,0.7882736156351792,0.027867095391211148
tabula_lung_endo,endothelial cell of lymphatic vessel,5,43,1,"[""da9ffbdf489ba7b0""]","[""072bd4a6a89e4b92a0d461928e295963507e42a006f785679b531c97a6c941e6""]","[""0.01""]",7464.0,7261.0,208.0,34.0,65.0,307.0,39.0,0.02403846153846154,0.016286644951140065,0.1270358306188925,0.0006698821007502679
tabula_lung_endo,endothelial cell of lymphatic vessel,10,43,1,"[""da9ffbdf489ba7b0""]","[""1d825d7683a8696384824afb7b44f380ab77087e8afbfd0102d8a030e496ee6e""]","[""0.05""]",7464.0,7266.0,208.0,34.0,65.0,307.0,44.0,0.04807692307692308,0.03257328990228013,0.14332247557003258,0.0013397642015005359
tabula_lung_endo,endothelial cell of lymphatic vessel,20,43,1,"[""da9ffbdf489ba7b0""]","[""799b09efffb22dee371856935f53bbe7a3aaafcaa53583e990b980153e318342""]","[""0.10""]",7464.0,7276.0,208.0,34.0,65.0,307.0,54.0,0.09615384615384616,0.06514657980456026,0.1758957654723127,0.0026795284030010718
tabula_lung_endo,endothelial cell of lymphatic vessel,208,43,1,"[""da9ffbdf489ba7b0""]","[""786544698553a7ca24d9c7e4437507154a7b522fde8ec7c87ddacf4bbab437a4""]","[""all""]",7464.0,7464.0,208.0,34.0,65.0,307.0,242.0,1.0,0.6775244299674267,0.7882736156351792,0.027867095391211148
tabula_lung_endo,endothelial cell of lymphatic vessel,5,44,1,"[""da9ffbdf489ba7b0""]","[""cbb53806c0bd3e1eb7af22f190ff2045b8878207ecfeabfd2eefda4a59fb3e67""]","[""0.01""]",7464.0,7261.0,208.0,34.0,65.0,307.0,39.0,0.02403846153846154,0.016286644951140065,0.1270358306188925,0.0006698821007502679
