dataset,dataset_label,rare_class,rare_train_size,rts_label,seed,method,rare_f1,rare_recall,rare_precision,overall_accuracy
pancreas_gamma,Pancreas-γ,gamma,all,all,42,knn_k15,0.9942196531791908,1.0,0.9885057471264368,0.9443155452436196
pancreas_gamma,Pancreas-γ,gamma,all,all,42,lr,0.9826589595375722,0.9883720930232558,0.9770114942528736,0.976798143851508
pancreas_gamma,Pancreas-γ,gamma,all,all,42,scbalance,0.9772727272727272,1.0,0.9555555555555556,0.962877030162413
pancreas_gamma,Pancreas-γ,gamma,all,all,42,scRareRefine,0.9885057471264368,1.0,0.9772727272727272,0.9704176334106728
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,43,baseline,0.9942196531791908,1.0,0.9885057471264368,0.978538283062645
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,43,knn_k15,0.9518072289156626,0.9186046511627908,0.9875,0.948955916473318
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,43,lr,0.0229885057471264,0.0116279069767441,1.0,0.9303944315545244
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,43,scbalance,0.2083333333333333,0.1162790697674418,1.0,0.9350348027842228
pancreas_gamma,Pancreas-γ,gamma,0.1,10%,43,scRareRefine,0.9942196531791908,1.0,0.9885057471264368,0.978538283062645
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,43,baseline,0.0,0.0,0.0,0.9193735498839908
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,43,knn_k15,0.0,0.0,0.0,0.9008120649651972
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,43,lr,0.0674157303370786,0.0348837209302325,1.0,0.9321345707656612
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,43,scbalance,0.5423728813559322,0.3720930232558139,1.0,0.9350348027842228
pancreas_gamma,Pancreas-γ,gamma,0.01,1%,43,scRareRefine,0.9651162790697676,0.9651162790697676,0.9651162790697676,0.9663573085846868
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,43,baseline,0.9883720930232558,0.9883720930232558,0.9883720930232558,0.980278422273782
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,43,knn_k15,0.6870229007633588,0.5232558139534884,1.0,0.9286542923433876
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,43,lr,0.0229885057471264,0.0116279069767441,1.0,0.9292343387470998
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,43,scbalance,0.297029702970297,0.1744186046511628,1.0,0.9327146171693736
pancreas_gamma,Pancreas-γ,gamma,0.05,5%,43,scRareRefine,0.9883720930232558,0.9883720930232558,0.9883720930232558,0.980278422273782
pancreas_gamma,Pancreas-γ,gamma,all,all,43,baseline,0.9828571428571428,1.0,0.9662921348314608,0.9675174013921114
pancreas_gamma,Pancreas-γ,gamma,all,all,43,knn_k15,0.9942196531791908,1.0,0.9885057471264368,0.94953596287703
pancreas_gamma,Pancreas-γ,gamma,all,all,43,lr,0.9826589595375722,0.9883720930232558,0.9770114942528736,0.976798143851508
pancreas_gamma,Pancreas-γ,gamma,all,all,43,scbalance,0.9885057471264368,1.0,0.9772727272727272,0.9680974477958236
pancreas_gamma,Pancreas-γ,gamma,all,all,43,scRareRefine,0.9828571428571428,1.0,0.9662921348314608,0.9675174013921114
