low_sep,dataset,seed,rts,sep,baseline_f1,f1,gain,ffr,n_false,abstain
1.0,tabula_small_intestine,44,0.01,2.5892,0.9774,0.9774,0.0,0.0,0,True
1.3,tabula_small_intestine,44,0.01,2.5892,0.9774,0.9774,0.0,0.0,0,True
1.6,tabula_small_intestine,44,0.01,2.5892,0.9774,0.9774,0.0,0.0,0,True
0.0,tabula_small_intestine,44,0.05,2.1813,0.9848,0.9848,0.0,0.0,0,True
0.7,tabula_small_intestine,44,0.05,2.1813,0.9848,0.9848,0.0,0.0,0,True
1.0,tabula_small_intestine,44,0.05,2.1813,0.9848,0.9848,0.0,0.0,0,True
1.3,tabula_small_intestine,44,0.05,2.1813,0.9848,0.9848,0.0,0.0,0,True
1.6,tabula_small_intestine,44,0.05,2.1813,0.9848,0.9848,0.0,0.0,0,True
0.0,tabula_small_intestine,44,0.10,2.6335,0.9848,0.9848,0.0,0.0,0,True
0.7,tabula_small_intestine,44,0.10,2.6335,0.9848,0.9848,0.0,0.0,0,True
1.0,tabula_small_intestine,44,0.10,2.6335,0.9848,0.9848,0.0,0.0,0,True
1.3,tabula_small_intestine,44,0.10,2.6335,0.9848,0.9848,0.0,0.0,0,True
1.6,tabula_small_intestine,44,0.10,2.6335,0.9848,0.9848,0.0,0.0,0,True
0.0,tabula_small_intestine,44,all,2.3482,0.9774,0.9774,0.0,0.0,0,True
0.7,tabula_small_intestine,44,all,2.3482,0.9774,0.9774,0.0,0.0,0,True
1.0,tabula_small_intestine,44,all,2.3482,0.9774,0.9774,0.0,0.0,0,True
1.3,tabula_small_intestine,44,all,2.3482,0.9774,0.9774,0.0,0.0,0,True
1.6,tabula_small_intestine,44,all,2.3482,0.9774,0.9774,0.0,0.0,0,True
0.0,tabula_sapiens_stomach,42,0.01,1.7794,0.5455,0.7451,0.1996,0.0,0,False
0.7,tabula_sapiens_stomach,42,0.01,1.7794,0.5455,0.7451,0.1996,0.0,0,False
1.0,tabula_sapiens_stomach,42,0.01,1.7794,0.5455,0.7451,0.1996,0.0,0,False
1.3,tabula_sapiens_stomach,42,0.01,1.7794,0.5455,0.7451,0.1996,0.0,0,False
1.6,tabula_sapiens_stomach,42,0.01,1.7794,0.5455,0.7451,0.1996,0.0,0,False
0.0,tabula_sapiens_stomach,42,0.05,1.7794,0.5455,0.7451,0.1996,0.0,0,False
0.7,tabula_sapiens_stomach,42,0.05,1.7794,0.5455,0.7451,0.1996,0.0,0,False
1.0,tabula_sapiens_stomach,42,0.05,1.7794,0.5455,0.7451,0.1996,0.0,0,False
1.3,tabula_sapiens_stomach,42,0.05,1.7794,0.5455,0.7451,0.1996,0.0,0,False
1.6,tabula_sapiens_stomach,42,0.05,1.7794,0.5455,0.7451,0.1996,0.0,0,False
0.0,tabula_sapiens_stomach,42,0.10,1.7794,0.5455,0.7451,0.1996,0.0,0,False
0.7,tabula_sapiens_stomach,42,0.10,1.7794,0.5455,0.7451,0.1996,0.0,0,False
1.0,tabula_sapiens_stomach,42,0.10,1.7794,0.5455,0.7451,0.1996,0.0,0,False
1.3,tabula_sapiens_stomach,42,0.10,1.7794,0.5455,0.7451,0.1996,0.0,0,False
